,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
92,laika,typelevel/Laika,csv-yaml,https://github.com/typelevel/Laika,https://github.com/typelevel/Laika,Apache-2.0,2012-12-22 14:53:32,2025-05-26 17:37:05,2025-05-26 17:37:01,4081.0,36.0,51.0,9.0,447.0,16.0,223.0,438,2025-04-01 15:13:46,1.3.2,,,44.0,"Site and E-book Generator and Customizable Text Markup Transformer for sbt, Scala and Scala.js.",,,27.0,20,True,1,"['scala3', 'scalajs']",,,,,,
93,mdoc,scalameta/mdoc,sbt,https://github.com/scalameta/mdoc,https://github.com/scalameta/mdoc,Apache-2.0,2017-10-23 07:00:47,2025-05-02 03:45:19,2025-05-02 01:52:30,1489.0,32.0,84.0,10.0,770.0,61.0,150.0,401,2025-04-15 08:38:23,2.7.1,,,79.0,Typechecked markdown documentation for Scala.,,,57.0,20,True,1,['scala3'],,,,,,
94,stryker4s,stryker-mutator/stryker4s,test,https://github.com/stryker-mutator/stryker4s,https://github.com/stryker-mutator/stryker4s,Apache-2.0,2018-06-20 14:14:40,2025-05-26 11:44:23,2025-05-26 11:44:23,1658.0,62.0,37.0,6.0,1597.0,29.0,141.0,201,2025-05-11 10:29:58,0.18.0,,,47.0,Mutation testing for Scala.,,,36.0,20,True,2,['scala3'],,,,,,
95,breeze,scalanlp/breeze,sci,https://github.com/scalanlp/breeze,https://github.com/scalanlp/breeze,Apache-2.0,2009-07-08 23:22:52,2024-08-29 06:08:38,2024-08-29 06:08:38,3747.0,,690.0,204.0,321.0,90.0,452.0,3458,,,,,,Breeze is/was a numerical processing library for Scala.,,,145.0,19,True,2,['scala3'],,,,,,
96,scalatra,scalatra/scalatra,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2025-05-27 15:21:53,2025-05-27 15:21:53,4198.0,45.0,340.0,81.0,1387.0,71.0,381.0,2652,,,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",,,138.0,19,False,2,['scala3'],,,,,,1.0
97,enumeratum,lloydmeta/enumeratum,toolkits,https://github.com/lloydmeta/enumeratum,https://github.com/lloydmeta/enumeratum,MIT,2014-12-05 10:49:34,2025-05-23 12:50:30,2025-05-23 12:49:52,571.0,9.0,150.0,24.0,286.0,34.0,114.0,1205,2025-05-23 12:51:15,enumeratum-1.9.0,,,78.0,"A type-safe, reflection-free, powerful enumeration implementation for Scala with exhaustive pattern match warnings and..",,,95.0,19,True,2,"['scala3', 'scalajs']",,,,,,
98,colossus,tumblr/colossus,web-frameworks,https://github.com/tumblr/colossus,https://github.com/tumblr/colossus,Apache-2.0,2014-11-11 16:06:06,2021-08-14 08:40:07,2018-11-08 17:52:05,1325.0,,107.0,76.0,411.0,4.0,270.0,1143,2018-01-24 17:31:20,0.11.0,,,32.0,I/O and Microservice library for Scala.,,,29.0,19,False,2,,,,,,,
99,phantom,outworkers/phantom,db-clients,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2023-04-05 09:14:46,2021-08-16 22:07:29,1120.0,,187.0,73.0,512.0,21.0,403.0,1049,2020-08-10 21:50:24,2.59.0,,,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",,,51.0,19,False,2,,,,,,,
100,ReactiveMongo,ReactiveMongo/ReactiveMongo,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2025-05-07 12:13:55,2025-05-07 12:13:55,1412.0,6.0,232.0,53.0,990.0,15.0,373.0,851,2020-01-03 02:08:23,0.20.0,,,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",,,90.0,19,True,2,['scala3'],,,,,,
101,scrooge,twitter/scrooge,data,https://github.com/twitter/scrooge,https://github.com/twitter/scrooge,Apache-2.0,2011-08-22 15:17:18,2025-04-02 01:10:55,2025-04-02 01:10:55,1860.0,1.0,247.0,161.0,192.0,44.0,143.0,797,2022-12-26 14:40:41,scrooge-22.12.0,,,77.0,A Thrift parser/generator.,,,234.0,19,True,2,,,,,,,
102,upickle,com-lihaoyi/upickle,data,https://github.com/com-lihaoyi/upickle,https://github.com/com-lihaoyi/upickle,MIT,2014-04-23 05:41:08,2025-05-18 07:06:59,2025-05-18 07:06:21,937.0,8.0,166.0,16.0,353.0,29.0,285.0,746,2025-05-18 06:22:12,4.2.1,,,31.0,"uPickle: a simple, fast, dependency-free JSON & Binary (MessagePack) serialization library for Scala.",,,60.0,19,True,2,"['scala3', 'scalajs']",,,,,,
103,skinny-framework,skinny-framework/skinny-framework,web-frameworks,https://github.com/skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,MIT,2013-09-24 07:39:24,2022-12-14 08:22:49,2022-12-14 08:22:22,1996.0,,73.0,43.0,287.0,20.0,134.0,737,2022-12-14 08:24:58,4.0.1,13346.0,101.0,100.0,Scala on Rails - A full-stack web app framework for rapid development in Scala.,4.0,4.0,32.0,19,False,2,,,,,,,
104,sbt-eclipse,sbt/sbt-eclipse,sbt,https://github.com/sbt/sbt-eclipse,https://github.com/sbt/sbt-eclipse,Apache-2.0,2011-06-04 00:39:57,2025-04-11 19:59:32,2025-04-11 19:59:32,462.0,5.0,171.0,49.0,171.0,78.0,203.0,720,2023-12-15 13:52:51,6.2.0,,,4.0,Plugin for sbt to create Eclipse project definitions.,,,41.0,19,True,2,,,,,,,
