,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,trending,github_dependent_project_count,labels,github_release_downloads,monthly_downloads
50,scredis,Livestream/scredis,,db-clients,https://github.com/Livestream/scredis,https://github.com/Livestream/scredis,Apache-2.0,2013-02-27 16:13:18,2018-06-21 20:42:37,2018-06-21 20:42:37,147,,17,34,8.0,1.0,51.0,154,2014-12-16 16:04:30,2.0.6,24.0,"Non-blocking, ultra-fast Scala Redis client built on top of Akka IO, used in production at Livestream.",7,13,,,,,False,3,,,,,
51,scruid,ing-bank/scruid,,db-clients,https://github.com/ing-bank/scruid,https://github.com/ing-bank/scruid,Apache-2.0,2017-07-04 07:59:24,2021-07-04 10:22:44,2021-06-07 15:35:59,252,,27,15,77.0,7.0,31.0,113,2021-06-07 15:35:10,2.5.0,15.0,"Scala + Druid: Scruid. A library that allows you to compose queries in Scala, and parse the result back into typesafe..",19,13,,,,,False,3,,,,,
52,salat,salat/salat,,db-clients,https://github.com/salat/salat,https://github.com/salat/salat,,2011-01-12 16:54:23,2019-03-03 13:32:54,2019-03-03 13:32:53,877,,109,55,82.0,37.0,97.0,487,,,,Salat is a simple serialization library for case classes.,42,12,,,,,False,3,,,,,
53,reactive,nafg/reactive,,web-frameworks,https://github.com/nafg/reactive,https://github.com/nafg/reactive,,2010-05-27 23:21:42,2023-01-07 21:28:30,2021-02-28 04:06:13,1147,,41,19,134.0,29.0,53.0,215,,,,A simple FRP library and a web UI framework built on it.,11,12,,,,,False,3,,,,,
54,borer,sirthias/borer,,json,https://github.com/sirthias/borer,https://github.com/sirthias/borer,MPL-2.0,2019-03-04 21:32:46,2023-03-28 19:33:25,2023-02-09 16:29:39,962,8.0,12,8,518.0,7.0,101.0,189,,,,Efficient CBOR and JSON (de)serialization in Scala.,8,12,,,,,True,3,,,,,
55,scala-forklift,lastland/scala-forklift,,db-clients,https://github.com/lastland/scala-forklift,https://github.com/lastland/scala-forklift,,2015-08-18 16:26:21,2022-09-06 13:51:34,2020-04-24 19:30:57,274,,29,11,21.0,13.0,19.0,189,2016-08-10 07:04:47,0.2.3,3.0,"Type-safe data migration tool for Slick, Git and beyond.",10,11,,,,,False,3,,,,,
56,scala-jsonapi,scala-jsonapi/scala-jsonapi,,json,https://github.com/scala-jsonapi/scala-jsonapi,https://github.com/scala-jsonapi/scala-jsonapi,MIT,2015-11-09 12:47:14,2018-12-28 12:29:57,2018-06-11 08:54:13,135,,24,29,52.0,16.0,34.0,108,,,,"Scala support library for integrating the JSON API spec with Spray, Play! or Circe.",20,11,,,,,False,3,,,,,
57,clickhouse-scala-client,crobox/clickhouse-scala-client,,db-clients,https://github.com/crobox/clickhouse-scala-client,https://github.com/crobox/clickhouse-scala-client,LGPL-3.0,2017-03-31 13:40:12,2023-02-24 14:11:05,2023-02-24 14:11:01,841,1.0,19,8,111.0,11.0,20.0,107,2022-11-12 11:47:00,1.0.15,45.0,Clickhouse Scala Client with Reactive Streams support.,15,11,,,,,True,3,,,,,
58,couchdb-scala,beloglazov/couchdb-scala,,db-clients,https://github.com/beloglazov/couchdb-scala,https://github.com/beloglazov/couchdb-scala,Apache-2.0,2015-01-15 23:10:06,2018-11-13 12:48:24,2017-08-05 07:34:18,236,,18,6,33.0,18.0,31.0,65,2016-05-08 00:58:39,0.7.2,7.0,A purely functional Scala client for CouchDB.,2,11,,,,,False,3,,,,,
59,zio-elasticsearch,lambdaworks/zio-elasticsearch,,db-clients,https://github.com/lambdaworks/zio-elasticsearch,https://github.com/lambdaworks/zio-elasticsearch,Apache-2.0,2022-08-07 09:04:07,2023-03-30 15:28:05,2023-03-30 11:44:43,116,79.0,5,11,115.0,13.0,10.0,41,,,,ZIO Elasticsearch is a type-safe and streaming-friendly ZIO native Elasticsearch client.,8,11,,,,,True,3,,,['zio'],,
60,ScalaJack,gzoller/ScalaJack,,json,https://github.com/gzoller/ScalaJack,https://github.com/gzoller/ScalaJack,MIT,2013-06-17 20:20:56,2022-11-15 00:51:10,2022-11-15 00:50:56,923,,8,12,182.0,2.0,49.0,110,,,,Fast JSON parser/generator for Scala.,13,10,,,,,True,3,,,,,
61,longevity,longevityframework/longevity,,db-clients,https://github.com/longevityframework/longevity,https://github.com/longevityframework/longevity,,2014-12-17 02:50:13,2018-07-06 02:43:27,2018-07-06 02:43:18,1216,,5,12,8.0,36.0,4.0,103,2018-07-01 17:41:25,0.27.0,35.0,A Persistence Framework for Scala and NoSQL.,3,10,,,,,False,3,,,,,
62,pushka,fomkin/pushka,,json,https://github.com/fomkin/pushka,https://github.com/fomkin/pushka,Apache-2.0,2015-08-19 06:24:31,2019-06-12 09:24:40,2016-11-24 20:47:45,88,,9,7,26.0,10.0,25.0,81,,,14.0,ABANDONED Pure Scala serialization library with annotations.,6,10,,,,,False,3,,,,,
63,scurl-detector,lambdaworks/scurl-detector,io.lambdaworks:scurl-detector_2.13,misc,https://github.com/lambdaworks/scurl-detector,https://github.com/lambdaworks/scurl-detector,Apache-2.0,2021-06-08 09:33:41,2023-03-29 18:29:28,2023-03-29 18:26:15,72,6.0,1,8,62.0,1.0,9.0,15,2023-01-31 11:49:03,1.0.1,2.0,Scala library that detects and extracts URLs from text.,5,10,https://search.maven.org/artifact/io.lambdaworks/scurl-detector_2.13,2023-01-31 11:49:03,,,True,3,,,,,
64,lucene4s,outr/lucene4s,,db-clients,https://github.com/outr/lucene4s,https://github.com/outr/lucene4s,MIT,2016-10-11 18:40:58,2021-07-18 01:06:33,2021-05-17 19:36:10,153,,18,7,16.0,2.0,7.0,53,,,,Light-weight convenience wrapper around Lucene to simplify complex tasks and add Scala sugar.,5,9,,,,,False,3,,,,,
65,ReactiveCouchbase-rs-core,ReactiveCouchbase/ReactiveCouchbase-rs-core,,db-clients,https://github.com/ReactiveCouchbase/reactivecouchbase-rs-core,https://github.com/ReactiveCouchbase/reactivecouchbase-rs-core,Apache-2.0,2017-02-08 08:16:45,2018-04-23 09:37:17,2018-04-23 09:35:53,131,,10,7,13.0,8.0,11.0,27,2017-09-29 15:00:23,1.0.0,1.0,New ReactiveCouchbase driver using reactive-streams.,8,9,,,,,False,3,,,,,
66,akka-persistence-gcp-datastore,innFactory/akka-persistence-gcp-datastore,,db-clients,https://github.com/innFactory/akka-persistence-gcp-datastore,https://github.com/innFactory/akka-persistence-gcp-datastore,Apache-2.0,2019-11-29 19:52:00,2023-03-29 00:19:45,2022-03-15 00:18:23,292,,3,3,175.0,1.0,,20,,,,akka-persistence-gcp-datastore is a journal and snapshot store plugin for akka-persistence using google cloud..,4,9,,,,,True,3,,,,,
