,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id
133,openai-scala-client,cequence-io/openai-scala-client,sci,https://github.com/cequence-io/openai-scala-client,https://github.com/cequence-io/openai-scala-client,MIT,2023-01-25 10:09:04,2024-09-05 07:44:13,2024-09-02 09:16:25,659.0,80.0,19.0,12.0,43.0,8.0,31.0,174,2024-04-25 21:20:54,1.0.0,,,13.0,Scala client for OpenAI API.,6.0,,9.0,18,True,2,,io.cequence:openai-scala-client_2.13,['scala3'],https://search.maven.org/artifact/io.cequence/openai-scala-client_2.13,2024-07-22 13:08:54,6.0,
134,neotypes,neotypes/neotypes,db-clients,https://github.com/neotypes/neotypes,https://github.com/neotypes/neotypes,MIT,2018-11-11 19:33:08,2024-09-04 14:32:15,2024-09-04 14:32:14,1295.0,16.0,33.0,7.0,725.0,13.0,56.0,165,2024-06-07 14:29:41,1.1.0,,,19.0,"Scala lightweight, type-safe, asynchronous driver for neo4j.",,,16.0,18,True,2,,,,,,,
135,pekko-http,apache/incubator-pekko-http,http,https://github.com/apache/pekko-http,https://github.com/apache/pekko-http,Apache-2.0,2022-10-31 08:43:27,2024-09-04 22:27:41,2024-09-04 22:27:41,4686.0,14.0,36.0,23.0,480.0,30.0,73.0,149,,,,,,The Streaming-first HTTP server/module of Apache Pekko.,,,362.0,18,True,3,,,['scala3'],,,,apache/pekko-http
136,bleep,oyvindberg/bleep,development-cycle,https://github.com/oyvindberg/bleep,https://github.com/oyvindberg/bleep,MIT,2021-10-15 20:56:47,2024-09-03 08:15:47,2024-09-03 08:15:46,783.0,25.0,21.0,12.0,304.0,61.0,54.0,144,2024-08-17 10:51:49,0.0.7,6906.0,238.0,33.0,A bleeping fast scala build tool!.,,,17.0,18,True,3,,,['scala3'],,,,
137,vertx-lang-scala,vert-x3/vertx-lang-scala,reactive,https://github.com/vert-x3/vertx-lang-scala,https://github.com/vert-x3/vertx-lang-scala,,2014-11-04 12:04:52,2024-09-05 07:16:48,2024-09-05 07:16:34,639.0,29.0,40.0,34.0,115.0,10.0,64.0,122,2024-06-09 22:23:52,4.5.8,1184.0,197.0,3.0,Vert.x for Scala.,,,21.0,18,False,2,,,,,,,
138,better-files,pathikrit/better-files,toolkits,https://github.com/pathikrit/better-files,https://github.com/pathikrit/better-files,MIT,2015-09-12 03:48:31,2024-08-13 00:56:52,2024-03-18 04:06:32,1092.0,,145.0,38.0,447.0,49.0,178.0,1475,,,,,,"Simple, safe and intuitive Scala I/O.",,,62.0,17,True,3,,,['scala3'],,,,
139,securesocial,jaliss/securesocial,sec,https://github.com/jaliss/securesocial,https://github.com/jaliss/securesocial,Apache-2.0,2011-11-10 17:32:54,2020-10-09 22:17:20,2018-07-21 14:07:06,571.0,,528.0,88.0,257.0,68.0,324.0,1199,,,,,,"A module that provides OAuth, OAuth2 and OpenID authentication for Play Framework applications.",,,98.0,17,False,1,,,,,,,
140,enumeratum,lloydmeta/enumeratum,toolkits,https://github.com/lloydmeta/enumeratum,https://github.com/lloydmeta/enumeratum,MIT,2014-12-05 10:49:34,2024-08-15 16:46:22,2024-07-07 15:42:16,558.0,2.0,145.0,26.0,270.0,33.0,104.0,1186,2024-07-07 15:45:22,enumeratum-1.7.4,,,75.0,"A type-safe, reflection-free, powerful enumeration implementation for Scala with exhaustive pattern match warnings and..",,,92.0,17,True,3,,,"['scala3', 'scalajs']",,,,
141,async,scala/scala-async,toolkits,https://github.com/scala/scala-async,https://github.com/scala/scala-async,Apache-2.0,2013-04-01 22:22:27,2024-07-14 05:17:32,2024-07-14 05:17:32,765.0,2.0,92.0,55.0,254.0,12.0,76.0,1145,2021-09-09 21:50:20,1.0.1,,,21.0,An asynchronous programming facility for Scala.,,,28.0,17,True,3,,,['scalajs'],,,,
142,sbt-jmh,sbt/sbt-jmh,sbt,https://github.com/sbt/sbt-jmh,https://github.com/sbt/sbt-jmh,Apache-2.0,2014-05-19 18:39:03,2024-08-02 04:20:18,2024-08-02 04:20:18,324.0,6.0,90.0,24.0,161.0,29.0,70.0,791,2023-12-11 13:31:01,0.4.7,,,8.0,"Trust no one, bench everything. - sbt plugin for JMH (Java Microbenchmark Harness).",,,52.0,17,True,2,,,,,,,
143,scala-scraper,ruippeixotog/scala-scraper,others,https://github.com/ruippeixotog/scala-scraper,https://github.com/ruippeixotog/scala-scraper,MIT,2014-10-12 21:58:22,2024-08-22 22:06:43,2024-08-22 22:06:43,730.0,20.0,105.0,29.0,447.0,8.0,53.0,715,2017-07-21 21:40:45,2.0.0,,,5.0,A Scala library for scraping content from HTML pages.,,,15.0,17,True,2,,,['scala3'],,,,
144,unfiltered,unfiltered/unfiltered,web-frameworks,https://github.com/unfiltered/unfiltered,https://github.com/unfiltered/unfiltered,MIT,2010-05-19 04:00:57,2024-09-05 05:05:36,2024-09-05 01:21:00,2913.0,20.0,114.0,26.0,1181.0,79.0,146.0,709,,,,,,A toolkit for servicing HTTP requests in Scala.,,,93.0,17,True,3,,,['scala3'],,,,
145,freestyle,frees-io/freestyle,toolkits,https://github.com/frees-io/freestyle,https://github.com/frees-io/freestyle,Apache-2.0,2016-10-19 22:31:44,2019-08-13 06:52:17,2019-08-13 06:52:16,526.0,,50.0,41.0,321.0,34.0,214.0,614,2018-06-07 10:17:38,0.8.2,,,24.0,A cohesive & pragmatic framework of FP centric Scala libraries.,,,45.0,17,False,3,,,['scalajs'],,,,
146,scalate,scalate/scalate,templating,https://github.com/scalate/scalate,https://github.com/scalate/scalate,Apache-2.0,2010-01-27 15:53:18,2024-09-03 23:20:32,2024-09-03 23:20:32,2767.0,16.0,103.0,23.0,638.0,39.0,35.0,606,,,,,,"Scalate is a Scala based template engine which supports HAML, Mustache and JSP, Erb and Velocity style syntaxes.",,,74.0,17,True,2,,,,,,,
147,korolev,fomkin/korolev,web-frameworks,https://github.com/fomkin/korolev,https://github.com/fomkin/korolev,Apache-2.0,2016-08-10 16:19:56,2023-08-13 15:22:53,2023-08-06 12:44:17,677.0,,50.0,21.0,227.0,16.0,224.0,579,2022-08-16 08:04:00,1.5.0,,,35.0,Single Page Applications running on the server side.,,,26.0,17,True,3,,,"['scala3', 'scalajs']",,,,
148,scalariform,scala-ide/scalariform,development-cycle,https://github.com/scala-ide/scalariform,https://github.com/scala-ide/scalariform,MIT,2010-04-10 22:24:20,2024-05-11 00:35:23,2019-06-11 05:21:17,734.0,,148.0,27.0,98.0,67.0,140.0,527,2019-06-11 05:28:37,0.2.10,9777.0,113.0,11.0,Scala source code formatter.,,,56.0,17,False,3,,,,,,,
149,scribe,outr/scribe,toolkits,https://github.com/outr/scribe,https://github.com/outr/scribe,MIT,2016-01-26 15:49:14,2024-09-05 00:16:20,2024-06-14 18:16:48,1454.0,1.0,40.0,10.0,446.0,23.0,149.0,522,2024-06-04 21:32:22,3.15.0,,,47.0,The fastest logging library in the world. Built from scratch in Scala and programmatically configurable.,,,19.0,17,True,3,-2.0,,"['scala3', 'scalajs']",,,,
150,play-pac4j,pac4j/play-pac4j,sec,https://github.com/pac4j/play-pac4j,https://github.com/pac4j/play-pac4j,Apache-2.0,2012-11-10 08:19:26,2024-09-05 05:26:46,2024-09-05 05:26:43,1026.0,25.0,102.0,27.0,520.0,2.0,166.0,404,2023-11-15 08:16:36,play-pac4j-parent-12.0.0-PLAY2.8-RC1,,,1.0,"Security library for Play framework 2 in Java and Scala: OAuth, CAS, SAML, OpenID Connect, LDAP, JWT...",,,51.0,17,True,1,,,,,,,
151,play-swagger,iheartradio/play-swagger,others,https://github.com/iheartradio/play-swagger,https://github.com/iheartradio/play-swagger,Apache-2.0,2015-09-17 20:56:52,2023-11-10 07:27:13,2023-07-28 01:36:51,778.0,,130.0,24.0,438.0,22.0,160.0,403,2023-07-27 02:50:55,1.1.12,,,39.0,Swagger spec generator for play framework.,,,54.0,17,True,2,,,,,,,
