,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
95,geotrellis,locationtech/geotrellis,others,https://github.com/locationtech/geotrellis,https://github.com/locationtech/geotrellis,,2011-12-23 14:56:54,2023-09-24 17:39:05,2023-09-24 17:39:04,2457,6.0,369.0,106,2227.0,246.0,1050.0,1290,2023-02-27 14:21:07,3.7.0,,,22.0,GeoTrellis is a geographic data processing engine for high performance applications.,,,95.0,19,False,1,,,,,,,
96,colossus,tumblr/colossus,web-frameworks,https://github.com/tumblr/colossus,https://github.com/tumblr/colossus,Apache-2.0,2014-11-11 16:06:06,2021-08-14 08:40:07,2018-11-08 17:52:05,1325,,103.0,77,411.0,4.0,270.0,1153,2018-01-24 17:31:20,0.11.0,,,32.0,I/O and Microservice library for Scala.,,,28.0,19,False,2,,,,,,,
97,phantom,outworkers/phantom,db-clients,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2023-04-05 09:14:46,2021-08-16 22:07:29,1120,,189.0,75,512.0,19.0,403.0,1049,2020-08-10 21:50:24,2.59.0,,,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",,,51.0,19,False,2,,,,,,,
98,ReactiveMongo,ReactiveMongo/ReactiveMongo,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2023-09-26 14:05:36,2023-08-11 14:31:56,1340,8.0,233.0,56,874.0,19.0,367.0,846,2020-01-03 02:08:23,0.20.0,,,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",,,87.0,19,True,2,,['scala3'],,,,-1.0,
99,quicklens,softwaremill/quicklens,toolkits,https://github.com/softwaremill/quicklens,https://github.com/softwaremill/quicklens,Apache-2.0,2015-02-28 12:32:34,2023-09-26 00:13:52,2023-09-26 00:13:21,464,30.0,49.0,45,153.0,20.0,29.0,801,2023-07-19 08:23:28,1.9.6,,,27.0,Modify deeply nested case class fields.,,,25.0,19,True,2,,"['scala3', 'scalajs']",,,,,
100,scrooge,twitter/scrooge,data,https://github.com/twitter/scrooge,https://github.com/twitter/scrooge,Apache-2.0,2011-08-22 15:17:18,2023-09-22 14:18:27,2023-09-22 14:18:26,1844,2.0,243.0,173,188.0,32.0,143.0,779,2022-12-26 14:40:41,scrooge-22.12.0,,,77.0,A Thrift parser/generator.,,,228.0,19,True,2,,,,,,,
101,sbt-jmh,sbt/sbt-jmh,sbt,https://github.com/sbt/sbt-jmh,https://github.com/sbt/sbt-jmh,Apache-2.0,2014-05-19 18:39:03,2023-09-26 07:50:41,2023-09-26 07:50:37,299,13.0,89.0,26,141.0,29.0,69.0,771,2023-09-05 08:19:43,0.4.6,,,7.0,"Trust no one, bench everything. - sbt plugin for JMH (Java Microbenchmark Harness).",,,50.0,19,True,2,,,,,,,
102,skinny-framework,skinny-framework/skinny-framework,web-frameworks,https://github.com/skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,MIT,2013-09-24 07:39:24,2022-12-14 08:22:49,2022-12-14 08:22:22,1996,,73.0,47,287.0,20.0,134.0,738,2022-12-14 08:24:58,4.0.1,12328.0,111.0,100.0,Scala on Rails - A full-stack web app framework for rapid development in Scala.,3.0,3.0,32.0,19,True,2,,,,,,,
103,scala-parser-combinators,scala/scala-parser-combinators,parsers,https://github.com/scala/scala-parser-combinators,https://github.com/scala/scala-parser-combinators,Apache-2.0,2013-08-15 18:35:18,2023-09-27 13:28:53,2023-09-27 13:28:53,993,11.0,128.0,35,408.0,22.0,96.0,631,2023-04-26 22:27:37,2.3.0,,,18.0,"simple combinator-based parsing for Scala. formerly part of the Scala standard library, now a separate community-..",,,70.0,19,True,1,,"['scala3', 'scalajs']",,,,,
104,sbt-release,sbt/sbt-release,sbt,https://github.com/sbt/sbt-release,https://github.com/sbt/sbt-release,Apache-2.0,2011-10-15 19:00:45,2023-09-26 07:11:46,2023-09-26 07:11:44,526,12.0,155.0,27,216.0,72.0,98.0,625,2021-06-24 14:27:49,1.1.0,,,4.0,A release plugin for sbt.,,,64.0,19,True,2,,,,,,,
