,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,updated_github_id
34,fs2,typelevel/fs2,,reactive,"['scala3', 'scalajs']",https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2025-04-23 18:38:35,2025-04-22 15:28:06,10045.0,128.0,614.0,83.0,2787.0,114.0,671.0,2391,2025-03-24 18:17:31,3.12.0,100.0,"Compositional, streaming I/O library for Scala.",330.0,24,,,,,False,1,,,,,
35,quill,zio/zio-quill,,db-clients,"['zio', 'scala3', 'scalajs']",https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2025-04-19 00:15:29,2025-03-27 14:14:50,3680.0,33.0,348.0,59.0,2198.0,304.0,764.0,2154,2024-11-24 07:07:50,4.8.5,11.0,Compile-time Language Integrated Queries for Scala.,151.0,24,,,,,True,1,,,,-1.0,
36,sbt-native-packager,sbt/sbt-native-packager,,sbt,,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,Apache-2.0,2011-12-20 02:04:49,2025-03-18 08:19:22,2025-03-18 08:19:22,1768.0,17.0,446.0,53.0,859.0,151.0,675.0,1601,2025-02-04 18:44:00,1.11.1,100.0,sbt Native Packager.,278.0,24,,,,,True,1,,,,,
37,scalikejdbc,scalikejdbc/scalikejdbc,org.scalikejdbc:scalikejdbc_2.13,db-clients,['scala3'],https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2025-04-06 05:17:04,2025-04-06 05:17:03,3448.0,26.0,230.0,57.0,1970.0,36.0,456.0,1269,2024-09-26 05:23:58,4.3.2,52.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,115.0,24,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2024-09-26 04:59:04,27.0,27.0,True,1,,,,,
38,zeppelin,apache/zeppelin,,sci,,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2025-04-22 06:43:20,2025-04-22 06:42:13,5458.0,10.0,2806.0,305.0,4921.0,178.0,,6476,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",560.0,23,,,21.0,,True,2,21.0,,,1.0,
39,sangria,sangria-graphql/sangria,,others,['scala3'],https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2025-04-09 11:21:22,2025-04-09 11:17:26,2316.0,26.0,222.0,61.0,726.0,64.0,411.0,1962,2025-01-14 13:48:03,4.2.5,91.0,Scala GraphQL implementation.,68.0,23,,,,,True,1,,,,,
40,giter8,foundweekends/giter8,,development-cycle,,https://github.com/foundweekends/giter8,https://github.com/foundweekends/giter8,Apache-2.0,2010-08-10 04:08:48,2025-04-14 17:44:11,2025-04-14 17:44:10,1437.0,19.0,224.0,68.0,675.0,51.0,231.0,1746,2024-12-14 06:17:37,0.17.0,19.0,a command line tool to apply templates defined on GitHub.,85.0,23,,,,,True,2,,,,,
41,refined,fthomas/refined,,toolkits,"['scala3', 'scalajs']",https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2025-04-22 15:51:18,2025-04-22 15:51:18,3385.0,28.0,154.0,23.0,1136.0,73.0,149.0,1722,2024-12-27 11:46:38,0.11.3,71.0,Refinement types for Scala.,79.0,23,,,,,True,2,,,,,
42,pekko,apache/incubator-pekko,,distributed,['scala3'],https://github.com/apache/pekko,https://github.com/apache/pekko,Apache-2.0,2022-10-31 08:40:39,2025-04-22 14:08:01,2025-04-22 14:08:01,27523.0,50.0,156.0,55.0,1345.0,138.0,260.0,1342,,,,"Build highly concurrent, distributed, and resilient message-driven applications using Java/Scala.",1076.0,23,,,,,True,2,,,,,apache/pekko
43,argonaut,argonaut-io/argonaut,io.argonaut:argonaut_2.13,json,"['scala3', 'scalajs']",https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2025-04-22 22:01:37,2025-04-22 10:11:36,1786.0,23.0,108.0,24.0,825.0,28.0,169.0,547,2024-06-01 22:47:08,6.3.10,17.0,Purely functional JSON parser and library in scala.,66.0,23,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2024-06-01 22:47:08,50.0,50.0,True,1,,,,,
