,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
141,securesocial,jaliss/securesocial,sec,https://github.com/jaliss/securesocial,https://github.com/jaliss/securesocial,Apache-2.0,2011-11-10 17:32:54,2020-10-09 22:17:20,2018-07-21 14:07:06,571,,528.0,89,257.0,68.0,324.0,1199,,,,,,"A module that provides OAuth, OAuth2 and OpenID authentication for Play Framework applications.",,,98.0,17,False,1,,,,,,
142,cassovary,twitter/cassovary,toolkits,https://github.com/twitter/cassovary,https://github.com/twitter/cassovary,Apache-2.0,2012-02-21 23:22:30,2021-10-08 21:22:29,2021-10-08 21:22:23,503,,144.0,163,155.0,34.0,48.0,1043,2015-03-18 21:37:14,5.1.0,,,5.0,Cassovary is a simple big graph processing library for the JVM.,,,30.0,17,False,3,,,,,,
143,squants,typelevel/squants,sci,https://github.com/typelevel/squants,https://github.com/typelevel/squants,Apache-2.0,2014-03-06 16:28:32,2023-09-07 08:09:12,2022-12-13 15:56:08,825,,113.0,21,455.0,42.0,100.0,897,2021-08-26 20:15:30,1.8.3,,,17.0,"The Scala API for Quantities, Units of Measure and Dimensional Analysis.",,,60.0,17,True,2,,"['scala3', 'scalajs']",,,,
144,rediscala,etaty/rediscala,db-clients,https://github.com/etaty/rediscala,https://github.com/etaty/rediscala,Apache-2.0,2013-04-15 13:49:16,2023-08-03 18:18:46,2019-10-17 08:36:11,414,,134.0,40,99.0,74.0,83.0,791,2019-06-23 15:29:14,1.9.0,,,13.0,"Non-blocking, Reactive Redis driver for Scala (with Sentinel support).",,,31.0,17,False,2,,,,,,
145,sbt-updates,rtimush/sbt-updates,sbt,https://github.com/rtimush/sbt-updates,https://github.com/rtimush/sbt-updates,BSD-3-Clause,2012-10-07 17:20:50,2023-08-29 22:38:30,2023-08-29 22:38:29,598,8.0,51.0,22,288.0,12.0,66.0,734,2022-05-30 08:03:01,0.6.3,,,24.0,sbt plugin that can check Maven and Ivy repositories for dependency updates.,,,29.0,17,True,2,,,,,,
146,sbt-docker,marcuslonnberg/sbt-docker,sbt,https://github.com/marcuslonnberg/sbt-docker,https://github.com/marcuslonnberg/sbt-docker,MIT,2014-01-12 19:43:03,2023-08-24 05:53:37,2023-08-24 05:50:14,380,4.0,105.0,18,45.0,21.0,69.0,725,2023-08-24 05:54:18,1.11.0,,,9.0,Create Docker images directly from sbt.,,,27.0,17,True,2,,,,,,
147,unfiltered,unfiltered/unfiltered,web-frameworks,https://github.com/unfiltered/unfiltered,https://github.com/unfiltered/unfiltered,MIT,2010-05-19 04:00:57,2023-09-07 14:15:25,2023-09-07 14:13:02,2836,17.0,113.0,25,939.0,64.0,146.0,709,,,,,,A toolkit for servicing HTTP requests in Scala.,,,87.0,17,True,3,,['scala3'],,,,
148,scala-scraper,ruippeixotog/scala-scraper,others,https://github.com/ruippeixotog/scala-scraper,https://github.com/ruippeixotog/scala-scraper,MIT,2014-10-12 21:58:22,2023-08-29 22:46:37,2023-08-29 22:46:36,657,22.0,105.0,27,373.0,8.0,53.0,704,2017-07-21 21:40:45,2.0.0,,,5.0,A Scala library for scraping content from HTML pages.,,,15.0,17,True,2,,['scala3'],,,,
149,freestyle,frees-io/freestyle,toolkits,https://github.com/frees-io/freestyle,https://github.com/frees-io/freestyle,Apache-2.0,2016-10-19 22:31:44,2019-08-13 06:52:17,2019-08-13 06:52:16,526,,52.0,44,321.0,38.0,211.0,623,2018-06-07 10:17:38,0.8.2,,,24.0,A cohesive & pragmatic framework of FP centric Scala libraries.,,,44.0,17,False,3,,['scalajs'],,,,
150,scalate,scalate/scalate,templating,https://github.com/scalate/scalate,https://github.com/scalate/scalate,Apache-2.0,2010-01-27 15:53:18,2023-09-07 06:13:53,2023-09-07 06:13:53,2692,24.0,102.0,22,549.0,31.0,33.0,601,,,,,,"Scalate is a Scala based template engine which supports HAML, Mustache and JSP, Erb and Velocity style syntaxes.",,,73.0,17,True,2,,,,,,
151,squeryl,squeryl/squeryl,db-clients,https://github.com/squeryl/squeryl,https://github.com/squeryl/squeryl,Apache-2.0,2010-01-30 16:07:07,2023-09-07 07:11:10,2023-09-07 06:34:26,1098,22.0,142.0,28,347.0,40.0,112.0,584,,,,,,A Scala DSL for talking with databases with minimum verbosity and maximum type safety.,,,60.0,17,True,2,,['scala3'],,,,
152,sbt-buildinfo,sbt/sbt-buildinfo,sbt,https://github.com/sbt/sbt-buildinfo,https://github.com/sbt/sbt-buildinfo,MIT,2012-03-03 14:47:30,2023-09-05 00:31:27,2023-09-05 00:31:19,320,4.0,86.0,22,96.0,16.0,88.0,539,2022-02-17 05:57:05,0.11.0,,,5.0,I know this because build.sbt knows this.,,,50.0,17,True,2,,,,,,
153,reboot,dispatch/reboot,http,https://github.com/dispatch/reboot,https://github.com/dispatch/reboot,LGPL-3.0,2011-12-11 22:33:52,2023-02-02 15:22:17,2023-02-02 15:22:17,722,,106.0,35,135.0,5.0,97.0,434,2020-01-11 01:05:15,1.2.0,,,24.0,Scala wrapper for the Java AsyncHttpClient.,,,38.0,17,True,3,,,,,,
154,weaver-test,disneystreaming/weaver-test,test,https://github.com/disneystreaming/weaver-test,https://github.com/disneystreaming/weaver-test,,2020-04-24 17:21:55,2023-09-06 17:54:34,2023-08-05 14:40:36,655,12.0,46.0,10,587.0,40.0,69.0,397,2023-04-14 16:20:16,0.8.3,2308.0,59.0,36.0,A test framework that runs everything in parallel.,,,38.0,17,False,3,,"['scala3', 'scalajs']",,,,
155,mockito-scala,mockito/mockito-scala,test,https://github.com/mockito/mockito-scala,https://github.com/mockito/mockito-scala,MIT,2018-06-23 16:45:29,2023-08-29 21:44:17,2023-08-29 21:13:08,884,9.0,53.0,17,385.0,25.0,96.0,325,2023-08-29 21:44:17,1.17.22,,,33.0,Mockito for Scala language.,,,30.0,17,True,3,,,,,,
156,sbt-ci-release,sbt/sbt-ci-release,sbt,https://github.com/sbt/sbt-ci-release,https://github.com/sbt/sbt-ci-release,Apache-2.0,2018-06-10 21:45:29,2023-08-29 13:49:28,2023-08-29 13:49:28,444,6.0,65.0,10,210.0,14.0,67.0,268,2023-05-02 15:21:16,1.5.12,,,24.0,sbt plugin to automate Sonatype releases from GitHub Actions.,,,55.0,17,True,2,,,,,,
157,Dsl.scala,ThoughtWorksInc/Dsl.scala,toolkits,https://github.com/ThoughtWorksInc/Dsl.scala,https://github.com/ThoughtWorksInc/Dsl.scala,Apache-2.0,2017-10-14 01:21:02,2023-09-03 00:19:57,2023-07-02 07:50:12,1821,24.0,29.0,28,663.0,17.0,18.0,257,2023-01-26 02:47:03,2.0.0,,,17.0,A framework to create embedded Domain-Specific Languages in Scala.,,,5.0,17,True,3,,"['scala3', 'scalajs']",,,,
158,anorm,playframework/anorm,db-clients,https://github.com/playframework/anorm,https://github.com/playframework/anorm,Apache-2.0,2014-12-05 03:05:14,2023-08-28 11:17:48,2023-08-28 11:17:47,715,12.0,71.0,17,507.0,7.0,62.0,227,2022-09-29 14:17:35,2.7.0,,,3.0,The Anorm database library.,,,54.0,17,True,2,,"['scala3', 'play']",,,,
