,name,github_id,category,homepage,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,show,projectrank_placing,maven_id,labels,dependent_project_count,github_dependent_project_count,maven_url,maven_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,maven_dependent_project_count,trending
352,dupin,yakivy/dupin,data,https://github.com/yakivy/dupin,2.0,https://github.com/yakivy/dupin,MIT,2019-11-06 18:56:13.000,2024-04-02 14:41:45,6,2.0,,42.0,"Minimal, idiomatic, customizable validation Scala library.",False,3.0,,"['scala3', 'scalajs']",,,,,,,,,
353,codacy-scalameta,codacy/codacy-scalameta,development-cycle,https://github.com/codacy/codacy-scalameta,23.0,https://github.com/codacy/codacy-scalameta,,2016-06-14 13:54:18.000,2026-04-08 09:43:37,6,16.0,1.0,35.0,Codacy tool for Scalameta.,False,3.0,,,,,,,,,,,
354,figlet4s,colofabrix/figlet4s,others,https://github.com/colofabrix/figlet4s,1.0,https://github.com/colofabrix/figlet4s,MIT,2020-08-06 21:12:42.000,2022-11-09 21:16:15,6,,12.0,33.0,ASCII-art banners in Scala.,False,3.0,,,,,,,,,,,
355,ostinato,marianogappa/ostinato,others,https://github.com/marianogappa/ostinato,2.0,https://github.com/marianogappa/ostinato,MIT,2015-11-02 09:35:53.000,2017-03-24 05:07:09,6,,1.0,30.0,A chess library that runs on the server (Scala) and on the browser (ScalaJS).,False,3.0,,,,,,,,,,,
356,sparkplug,indix/sparkplug,bigdata,https://github.com/indix/sparkplug,8.0,https://github.com/indix/sparkplug,Apache-2.0,2017-10-13 11:35:57.000,2020-05-15 09:11:07,6,2.0,,28.0,Spark package to plug holes in data using SQL based rules.,False,3.0,,,,,,,,,,,
357,kvs,zero-deps/kvs,db-clients,https://github.com/zero-deps/kvs,18.0,https://github.com/zero-deps/kvs,MIT,2019-08-09 21:21:29.000,2024-09-28 09:47:07,6,2.0,,24.0,"Highly available distributed strong eventual consistent and sequentially consistent storage with feeds, sorting and..",False,3.0,,,,,,,,,,,
358,scala2plantuml,bottech/scala2plantuml,env,https://github.com/bottech/scala2plantuml,2.0,https://github.com/bottech/scala2plantuml,MIT,2021-03-03 02:34:35.000,2024-07-29 10:46:59,6,6.0,35.0,23.0,Scala2PlantUML generates PlantUML diagrams from Scala code.,False,3.0,,,,,,,,,,,
359,akka-persistence-gcp-datastore,innFactory/akka-persistence-gcp-datastore,db-clients,https://github.com/innFactory/akka-persistence-gcp-datastore,4.0,https://github.com/innFactory/akka-persistence-gcp-datastore,Apache-2.0,2019-11-29 19:52:00.000,2024-09-05 00:20:40,6,3.0,15.0,19.0,akka-persistence-gcp-datastore is a journal and snapshot store plugin for akka-persistence using google cloud..,False,3.0,,,,,,,,,,,
360,pos,johnreedlol/pos,env,https://github.com/johnreedlol/pos,4.0,https://github.com/johnreedlol/pos,Apache-2.0,2018-09-25 01:19:23.000,2019-11-23 04:39:32,6,2.0,12.0,18.0,Macro based print debugging. Locates debug statements in your IDE.,False,3.0,,,,,,,,,,,
361,mailgun4s,outr/mailgun4s,others,https://github.com/outr/mailgun4s,6.0,https://github.com/outr/mailgun4s,MIT,2016-08-18 01:03:36.000,2026-04-09 22:01:04,6,7.0,,17.0,Mailgun API implementation in Scala.,True,3.0,,['scala3'],,,,,,,,,
