,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,new_addition,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels
33,framework,lift/framework,web-frameworks,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2022-06-14 16:43:52,2021-10-08 15:18:07,3930,,270.0,106,530.0,143.0,1323.0,1264,2021-10-08 15:12:09,3.5.0-release,52.0,Lift Framework.,118.0,21,True,2,,,,,,,,,,
34,tinylog,pmwmedia/tinylog,toolkits,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2023-04-05 12:56:32,2023-04-01 23:13:37,1137,34.0,75.0,14,210.0,17.0,203.0,586,2023-03-09 20:43:14,2.6.1,77.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",18.0,21,True,2,19384.0,191.0,,,,2.0,2.0,tinylog-org/tinylog,,
35,udash-core,UdashFramework/udash-core,web-frameworks,https://github.com/UdashFramework/udash-core,https://github.com/UdashFramework/udash-core,Apache-2.0,2016-02-25 09:35:23,2023-03-31 10:27:39,2023-03-28 15:07:18,3249,79.0,35.0,21,976.0,27.0,86.0,433,2023-03-20 16:09:29,0.9.0,16.0,Scala framework for building beautiful and maintainable web applications.,36.0,21,True,2,,,,,,,,,,
36,mima,lightbend/mima,sbt,https://github.com/lightbend/mima,https://github.com/lightbend/mima,Apache-2.0,2012-05-24 14:08:57,2023-03-31 08:33:54,2023-03-31 08:33:53,1442,27.0,62.0,22,534.0,25.0,185.0,428,2023-03-29 14:01:18,1.1.2,31.0,A tool for catching binary incompatibility in Scala.,47.0,21,True,1,,,,,,,,,,
37,scanamo,scanamo/scanamo,db-clients,https://github.com/scanamo/scanamo,https://github.com/scanamo/scanamo,Apache-2.0,2016-02-01 10:58:52,2023-04-01 20:43:01,2023-03-06 20:42:43,2048,10.0,118.0,37,1440.0,45.0,151.0,316,2022-11-02 11:53:51,1.0.0-M23,12.0,Simpler DynamoDB access for Scala.,78.0,21,True,2,,,,,,,,,,
38,scalaz,scalaz/scalaz,toolkits,https://github.com/scalaz/scalaz,https://github.com/scalaz/scalaz,,2010-01-16 06:18:51,2023-04-03 18:15:00,2023-04-03 18:14:58,7232,30.0,688.0,213,1953.0,126.0,421.0,4610,,,,Principled Functional Programming in Scala.,247.0,20,False,2,,,,,,,,,,
39,sbt-assembly,sbt/sbt-assembly,sbt,https://github.com/sbt/sbt-assembly,https://github.com/sbt/sbt-assembly,MIT,2011-06-10 05:30:27,2023-02-12 06:13:17,2023-02-12 05:50:29,618,2.0,215.0,57,155.0,98.0,242.0,1893,2023-02-12 06:44:54,2.1.1,16.0,Deploy ber-JARs. Restart processes. (port of codahale/assembly-sbt).,78.0,20,True,1,,,,,,,,,,
40,json4s,json4s/json4s,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2023-03-31 12:41:14,2023-03-31 06:30:06,1717,30.0,323.0,65,869.0,145.0,252.0,1444,,,,JSON library.,126.0,20,True,1,,,,,,,,,,
41,scalatest,scalatest/scalatest,test,https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2023-03-31 15:49:58,2022-12-29 04:21:04,6342,,320.0,56,1482.0,424.0,325.0,1095,2023-01-06 09:17:43,release-3.2.15,37.0,A testing tool for Scala and Java developers.,59.0,20,True,2,,,,,True,,,,,
42,phantom,outworkers/phantom,db-clients,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2023-04-05 09:14:46,2021-08-16 22:07:29,1120,,182.0,75,512.0,19.0,403.0,1046,2020-08-10 21:50:24,2.59.0,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",51.0,20,False,2,,,,,,,,,1.0,
