,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,updated_github_id,trending
127,sbt-microsites,47degrees/sbt-microsites,,sbt,,https://github.com/47degrees/sbt-microsites,https://github.com/47degrees/sbt-microsites,Apache-2.0,2016-09-05 23:33:02,2024-06-17 05:14:05,2024-04-29 05:19:30,1290.0,5.0,61.0,51.0,672.0,17.0,122.0,318,2023-11-10 13:36:09,1.4.4,79.0,An sbt plugin to create awesome microsites for your project.,,,76.0,18,,,,True,2,,,,
128,diffson,gnieh/diffson,,json,"['scala3', 'scalajs']",https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2024-06-20 07:03:57,2024-06-20 06:59:02,551.0,21.0,53.0,13.0,374.0,9.0,44.0,308,2024-04-02 18:25:18,4.6.0,16.0,A scala diff/patch library for Json.,,,32.0,18,,,,True,2,,,,
129,fs2-aws,laserdisc-io/fs2-aws,,others,['scala3'],https://github.com/laserdisc-io/fs2-aws,https://github.com/laserdisc-io/fs2-aws,MIT,2018-01-13 18:32:52,2024-06-14 16:56:30,2024-06-14 16:56:30,759.0,30.0,44.0,4.0,1125.0,17.0,51.0,187,2024-05-01 18:58:29,6.1.3,65.0,fs2 utilities to interact with AWS.,,,30.0,18,,,,True,1,,,,
130,openai-scala-client,cequence-io/openai-scala-client,io.cequence:openai-scala-client_2.13,sci,['scala3'],https://github.com/cequence-io/openai-scala-client,https://github.com/cequence-io/openai-scala-client,MIT,2023-01-25 10:09:04,2024-06-14 15:37:04,2024-06-07 12:59:51,579.0,165.0,17.0,10.0,38.0,9.0,29.0,163,2024-04-25 21:20:54,1.0.0,12.0,Scala client for OpenAI API.,5.0,,7.0,18,https://search.maven.org/artifact/io.cequence/openai-scala-client_2.13,2024-04-25 13:06:30,5.0,True,2,,,,
131,neotypes,neotypes/neotypes,,db-clients,,https://github.com/neotypes/neotypes,https://github.com/neotypes/neotypes,MIT,2018-11-11 19:33:08,2024-06-14 19:52:39,2024-06-14 19:52:38,1283.0,33.0,33.0,7.0,702.0,13.0,56.0,161,2024-06-07 14:29:41,1.1.0,19.0,"Scala lightweight, type-safe, asynchronous driver for neo4j.",,,16.0,18,,,,True,2,,,,
132,better-files,pathikrit/better-files,,toolkits,['scala3'],https://github.com/pathikrit/better-files,https://github.com/pathikrit/better-files,MIT,2015-09-12 03:48:31,2024-05-17 17:35:22,2024-03-18 04:06:32,1092.0,,145.0,38.0,444.0,48.0,178.0,1463,,,,"Simple, safe and intuitive Scala I/O.",,,62.0,17,,,,True,3,,,,1.0
133,scopt,scopt/scopt,,others,"['scala3', 'scalajs']",https://github.com/scopt/scopt,https://github.com/scopt/scopt,,2012-03-18 19:27:17,2024-04-12 08:31:36,2024-04-12 08:31:36,506.0,3.0,164.0,36.0,183.0,55.0,116.0,1427,2022-07-02 20:30:57,4.1.0,17.0,command line options parsing for Scala.,,,62.0,17,,,,False,2,,,,
134,securesocial,jaliss/securesocial,,sec,,https://github.com/jaliss/securesocial,https://github.com/jaliss/securesocial,Apache-2.0,2011-11-10 17:32:54,2020-10-09 22:17:20,2018-07-21 14:07:06,571.0,,528.0,88.0,257.0,68.0,324.0,1199,,,,"A module that provides OAuth, OAuth2 and OpenID authentication for Play Framework applications.",,,98.0,17,,,,False,1,,,,
135,scala-logging,lightbend-labs/scala-logging,,logging,['scala3'],https://github.com/lightbend-labs/scala-logging,https://github.com/lightbend-labs/scala-logging,Apache-2.0,2013-07-16 20:24:15,2024-05-23 19:36:28,2024-05-23 19:36:28,350.0,5.0,132.0,27.0,313.0,37.0,100.0,904,2023-08-30 13:19:37,3.9.5,6.0,Convenient and performant logging library for Scala wrapping SLF4J.,,,45.0,17,,,,True,2,,,,
136,quicklens,softwaremill/quicklens,,toolkits,"['scala3', 'scalajs']",https://github.com/softwaremill/quicklens,https://github.com/softwaremill/quicklens,Apache-2.0,2015-02-28 12:32:34,2024-06-05 00:06:55,2024-03-28 11:48:36,501.0,1.0,53.0,44.0,184.0,24.0,31.0,815,2024-01-23 20:01:45,1.9.7,28.0,Modify deeply nested case class fields.,,,26.0,17,,,,True,3,,,,
