,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending
79,wartremover,wartremover/wartremover,development-cycle,https://github.com/wartremover/wartremover,https://github.com/wartremover/wartremover,Apache-2.0,2013-01-05 11:29:26,2024-02-29 16:22:20,2024-02-29 16:20:29,1237.0,33.0,116.0,32.0,673.0,104.0,237.0,1063,2020-02-25 04:42:44,2.4.5,494.0,5.0,27.0,Flexible Scala code linting tool.,,,61.0,20,True,3,,['scala3'],,,,
80,ReactiveMongo,ReactiveMongo/ReactiveMongo,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2024-02-28 02:53:15,2024-01-17 21:50:14,1358.0,13.0,230.0,55.0,900.0,19.0,369.0,844,2020-01-03 02:08:23,0.20.0,,,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",,,88.0,20,True,2,,['scala3'],,,,
81,scodec,scodec/scodec,data,https://github.com/scodec/scodec,https://github.com/scodec/scodec,BSD-3-Clause,2013-04-22 13:36:08,2024-02-28 05:04:06,2024-02-24 14:02:08,1404.0,20.0,107.0,30.0,450.0,3.0,68.0,800,2023-10-25 13:34:51,2.2.2,,,5.0,Scala combinator library for working with binary data.,,,62.0,20,True,1,,"['scala3', 'scalajs']",,,,
82,specs2,etorreborre/specs2,test,https://github.com/etorreborre/specs2,https://github.com/etorreborre/specs2,,2010-09-03 01:55:10,2024-02-27 19:15:42,2024-02-27 19:15:41,4744.0,23.0,224.0,29.0,563.0,2.0,651.0,736,2024-01-24 15:26:49,SPECS-4.20.5,,,71.0,Software Specifications for Scala.,,,94.0,20,False,2,,"['scala3', 'scalajs']",,,,
83,avro4s,sksamuel/avro4s,data,https://github.com/sksamuel/avro4s,https://github.com/sksamuel/avro4s,Apache-2.0,2015-09-16 14:50:22,2024-02-24 00:32:02,2024-01-23 17:33:00,1552.0,2.0,235.0,26.0,444.0,17.0,363.0,713,2023-12-19 00:43:01,5.0.9,,,3.0,Avro schema generation and serialization / deserialization for Scala.,,,106.0,20,True,1,,['scala3'],,,,-1.0
84,bootzooka,softwaremill/bootzooka,others,https://github.com/softwaremill/bootzooka,https://github.com/softwaremill/bootzooka,Apache-2.0,2012-10-19 07:54:05,2024-02-29 00:06:32,2024-02-29 00:06:01,3394.0,41.0,152.0,59.0,1101.0,12.0,103.0,712,2022-07-27 13:33:11,1.0.4,,,4.0,"Simple project to quickly start developing a Scala-based microservice or web application, without the need to write..",,,64.0,20,True,1,,,,,,-1.0
85,sbt-release,sbt/sbt-release,sbt,https://github.com/sbt/sbt-release,https://github.com/sbt/sbt-release,Apache-2.0,2011-10-15 19:00:45,2024-02-24 00:34:45,2024-02-24 00:34:45,541.0,11.0,162.0,26.0,230.0,86.0,101.0,638,2024-01-23 01:19:43,1.4.0,,,5.0,A release plugin for sbt.,,,65.0,20,True,1,,,,,,
86,sbt-scoverage,scoverage/sbt-scoverage,sbt,https://github.com/scoverage/sbt-scoverage,https://github.com/scoverage/sbt-scoverage,Apache-2.0,2014-05-16 00:58:21,2024-02-24 08:51:47,2024-02-24 08:49:10,762.0,6.0,152.0,29.0,265.0,39.0,220.0,637,2024-02-24 09:02:04,2.0.11,,,39.0,sbt plugin for scoverage.,,,73.0,20,True,1,,,,,,
87,izumi,7mind/izumi,di,https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2024-02-28 16:38:06,2024-02-28 16:38:00,4465.0,37.0,61.0,20.0,1569.0,69.0,394.0,600,2024-01-19 20:22:09,1.2.5,,,81.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,,,31.0,20,True,2,,"['scala3', 'scalajs']",,,,
88,twirl,playframework/twirl,templating,https://github.com/playframework/twirl,https://github.com/playframework/twirl,Apache-2.0,2013-09-22 22:48:40,2024-02-27 11:43:00,2024-02-27 11:09:22,1201.0,25.0,109.0,37.0,630.0,36.0,76.0,535,2024-02-27 12:21:25,2.0.4,,,19.0,Twirl is Plays default template engine.,,,53.0,20,True,1,,"['scala3', 'scalajs']",,,,
