,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,labels
46,spark-notebook,spark-notebook/spark-notebook,sci,https://github.com/spark-notebook/spark-notebook,https://github.com/spark-notebook/spark-notebook,Apache-2.0,2014-09-05 19:35:25,2023-05-16 16:06:37,2021-03-30 08:57:25,2326.0,,659.0,190.0,484.0,208.0,307.0,3140.0,2017-07-23 14:44:02,0.8.3,,,18.0,Interactive and Reactive Data Science using Scala and Spark.,84.0,22,False,2.0,,,,,,,,
47,spire,typelevel/spire,sci,https://github.com/typelevel/spire,https://github.com/typelevel/spire,MIT,2011-11-03 20:52:53,2023-07-05 20:19:49,2023-06-27 15:12:29,2970.0,26.0,247.0,68.0,861.0,129.0,268.0,1726.0,2022-06-17 15:55:07,0.18.0,,,4.0,Powerful new number types and numeric abstractions for Scala.,104.0,22,True,2.0,,,,,,,,
48,finch,finagle/finch,http,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2023-07-04 17:39:11,2023-07-04 17:39:10,2268.0,27.0,226.0,62.0,1215.0,42.0,367.0,1596.0,2022-09-16 18:19:38,0.34.0,,,61.0,Scala combinator library for building Finagle HTTP services.,128.0,22,True,2.0,,,,,,,,
49,Monocle,optics-dev/monocle,toolkits,https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2023-07-04 19:12:51,2023-06-29 22:30:38,2122.0,19.0,202.0,52.0,991.0,45.0,331.0,1591.0,2023-01-03 14:12:47,3.2.0,,,9.0,Optics library for Scala.,125.0,22,True,2.0,,,,,,,-1.0,
50,sbt-native-packager,sbt/sbt-native-packager,sbt,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2023-05-30 12:45:52,2023-04-08 15:47:22,1692.0,1.0,440.0,58.0,750.0,130.0,649.0,1571.0,2023-02-20 17:55:37,1.9.16,,,100.0,sbt Native Packager.,268.0,22,True,1.0,,,,,,,,
51,skunk,typelevel/skunk,db-clients,https://github.com/typelevel/skunk,https://github.com/typelevel/skunk,MIT,2018-09-21 06:46:41,2023-07-06 13:15:30,2023-06-30 13:10:33,1565.0,116.0,143.0,31.0,788.0,101.0,59.0,1465.0,2023-05-31 12:01:22,0.6.0,,,26.0,A data access library for Scala + Postgres.,66.0,22,True,2.0,,,,,,,,
52,scalatest,scalatest/scalatest,test,https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2023-07-04 03:40:58,2023-07-04 03:40:53,6391.0,24.0,338.0,55.0,1496.0,512.0,328.0,1105.0,2023-05-15 13:46:58,release-3.2.16,,,38.0,A testing tool for Scala and Java developers.,64.0,22,True,2.0,,,,,,,,
53,izumi,7mind/izumi,di,https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2023-07-06 14:52:18,2023-07-06 14:52:17,4331.0,76.0,56.0,21.0,1484.0,64.0,385.0,569.0,2023-07-06 18:09:21,1.1.0-M25,,,72.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,31.0,22,True,2.0,,,,,,,,
54,argonaut,argonaut-io/argonaut,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2023-06-27 03:35:42,2023-06-27 01:47:17,1610.0,24.0,112.0,26.0,563.0,27.0,168.0,545.0,2022-01-20 23:50:14,6.3.8,,,14.0,Purely functional JSON parser and library in scala.,59.0,22,True,1.0,15.0,,io.argonaut:argonaut_2.13,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2022-01-20 23:50:14,15.0,,
55,zeppelin,apache/zeppelin,sci,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2023-07-05 14:41:41,2023-07-05 12:04:52,5262.0,32.0,2758.0,321.0,4627.0,141.0,,6083.0,,,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",522.0,21,True,2.0,,,,,,,,
