,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,new_addition,trending,github_dependent_project_count,updated_github_id,labels,github_release_downloads,monthly_downloads
35,scredis,Livestream/scredis,,db-clients,https://github.com/Livestream/scredis,https://github.com/Livestream/scredis,Apache-2.0,2013-02-27 16:13:18,2018-06-21 20:42:37,2018-06-21 20:42:37,147,,17,34,8.0,1.0,51.0,154,2014-12-16 16:04:30,2.0.6,24.0,"Non-blocking, ultra-fast Scala Redis client built on top of Akka IO, used in production at Livestream.",7,13,,,,,False,3,True,,,,,,
36,scruid,ing-bank/scruid,,db-clients,https://github.com/ing-bank/scruid,https://github.com/ing-bank/scruid,Apache-2.0,2017-07-04 07:59:24,2021-07-04 10:22:44,2021-06-07 15:35:59,252,,27,15,77.0,7.0,31.0,113,2021-06-07 15:35:10,2.5.0,15.0,"Scala + Druid: Scruid. A library that allows you to compose queries in Scala, and parse the result back into typesafe..",19,13,,,,,True,3,True,,,,,,
37,salat,salat/salat,,db-clients,https://github.com/salat/salat,https://github.com/salat/salat,,2011-01-12 16:54:23,2019-03-03 13:32:54,2019-03-03 13:32:53,877,,109,55,82.0,37.0,97.0,487,,,,Salat is a simple serialization library for case classes.,42,12,,,,,False,3,True,,,,,,
38,borer,sirthias/borer,,json,https://github.com/sirthias/borer,https://github.com/sirthias/borer,MPL-2.0,2019-03-04 21:32:46,2023-03-10 19:58:41,2023-02-09 16:29:39,962,8.0,12,8,517.0,7.0,101.0,189,,,,Efficient CBOR and JSON (de)serialization in Scala.,8,12,,,,,True,3,,,,,,,
39,scala-forklift,lastland/scala-forklift,,db-clients,https://github.com/lastland/scala-forklift,https://github.com/lastland/scala-forklift,,2015-08-18 16:26:21,2022-09-06 13:51:34,2020-04-24 19:30:57,274,,29,11,21.0,13.0,19.0,189,2016-08-10 07:04:47,0.2.3,3.0,"Type-safe data migration tool for Slick, Git and beyond.",10,11,,,,,False,3,True,,,,,,
40,scala-jsonapi,scala-jsonapi/scala-jsonapi,,json,https://github.com/scala-jsonapi/scala-jsonapi,https://github.com/scala-jsonapi/scala-jsonapi,MIT,2015-11-09 12:47:14,2018-12-28 12:29:57,2018-06-11 08:54:13,135,,24,29,52.0,16.0,34.0,108,,,,"Scala support library for integrating the JSON API spec with Spray, Play! or Circe.",20,11,,,,,False,3,,,,,,,
41,clickhouse-scala-client,crobox/clickhouse-scala-client,,db-clients,https://github.com/crobox/clickhouse-scala-client,https://github.com/crobox/clickhouse-scala-client,LGPL-3.0,2017-03-31 13:40:12,2023-02-24 14:11:05,2023-02-24 14:11:01,841,1.0,19,8,111.0,11.0,20.0,107,2022-11-12 11:47:00,1.0.15,45.0,Clickhouse Scala Client with Reactive Streams support.,15,11,,,,,True,3,True,,,,,,
42,couchdb-scala,beloglazov/couchdb-scala,,db-clients,https://github.com/beloglazov/couchdb-scala,https://github.com/beloglazov/couchdb-scala,Apache-2.0,2015-01-15 23:10:06,2018-11-13 12:48:24,2017-08-05 07:34:18,236,,18,6,33.0,18.0,31.0,65,2016-05-08 00:58:39,0.7.2,7.0,A purely functional Scala client for CouchDB.,2,11,,,,,False,3,True,,,,,,
43,zio-elasticsearch,lambdaworks/zio-elasticsearch,,db-clients,https://github.com/lambdaworks/zio-elasticsearch,https://github.com/lambdaworks/zio-elasticsearch,Apache-2.0,2022-08-07 09:04:07,2023-03-18 17:06:21,2023-03-15 13:24:27,104,74.0,4,10,100.0,15.0,5.0,40,,,,"ZIO Elasticsearch is a type-safe, testable and streaming-friendly ZIO native Elasticsearch client.",7,11,,,,,True,3,,,,,['zio'],,
44,ScalaJack,gzoller/ScalaJack,,json,https://github.com/gzoller/ScalaJack,https://github.com/gzoller/ScalaJack,MIT,2013-06-17 20:20:56,2022-11-15 00:51:10,2022-11-15 00:50:56,923,,8,12,182.0,2.0,49.0,110,,,,Fast JSON parser/generator for Scala.,13,10,,,,,True,3,,,,,,,
