,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
44,zeppelin,apache/zeppelin,sci,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2025-09-09 11:04:34,2025-09-09 10:54:14,5556.0,86.0,2830.0,302.0,5071.0,206.0,,6557,,,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",,,575.0,22,True,2,,,,,,,
45,scalding,twitter/scalding,bigdata,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195.0,,708.0,317.0,1384.0,316.0,329.0,3520,2017-12-22 20:23:36,0.17.4,,,17.0,A Scala API for Cascading.,,,213.0,22,False,2,,,,,,,
46,algebird,twitter/algebird,sci,https://github.com/twitter/algebird,https://github.com/twitter/algebird,Apache-2.0,2012-08-02 17:24:42,2025-08-21 04:49:58,2024-02-24 18:39:07,1905.0,,347.0,229.0,984.0,111.0,172.0,2295,2023-07-10 21:51:16,0.13.10,,,30.0,Abstract Algebra for Scala.,,,116.0,22,False,2,,,,,,,
47,giter8,foundweekends/giter8,development-cycle,https://github.com/foundweekends/giter8,https://github.com/foundweekends/giter8,Apache-2.0,2010-08-10 04:08:48,2025-09-07 07:05:49,2025-09-07 07:05:49,1482.0,39.0,223.0,68.0,708.0,51.0,233.0,1750,2024-12-14 06:17:37,0.17.0,,,19.0,a command line tool to apply templates defined on GitHub.,,,85.0,22,True,2,,,,,,,
48,refined,fthomas/refined,toolkits,https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2025-09-07 16:53:48,2025-09-07 16:53:48,3433.0,22.0,154.0,23.0,1160.0,73.0,149.0,1726,2024-12-27 11:46:38,0.11.3,,,71.0,Refinement types for Scala.,,,79.0,22,True,2,,"['scala3', 'scalajs']",,,,,
49,Monocle,optics-dev/monocle,toolkits,https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2025-09-07 22:05:51,2025-09-07 22:05:51,2270.0,12.0,206.0,53.0,1145.0,51.0,334.0,1683,2024-08-09 09:12:26,3.3.0,,,10.0,Optics library for Scala.,,,126.0,22,True,2,,"['scala3', 'scalajs']",,,,,
50,scalajs-react,japgolly/scalajs-react,scala-js,https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2025-09-11 06:46:54,2025-08-29 21:37:40,3217.0,6.0,231.0,61.0,579.0,27.0,513.0,1650,2025-09-05 04:43:49,2.1.3,,,67.0,Facebooks React on Scala.JS.,,,82.0,22,True,2,,"['scala3', 'scalajs']",,,,,
51,finch,finagle/finch,http,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2025-09-09 15:37:53,2025-09-09 15:37:53,2431.0,14.0,221.0,58.0,1385.0,42.0,369.0,1605,2022-09-16 18:19:38,0.34.0,,,61.0,Scala combinator library for building Finagle HTTP services.,,,128.0,22,True,2,,,,,,,
52,scrimage,sksamuel/scrimage,media,https://github.com/sksamuel/scrimage,https://github.com/sksamuel/scrimage,Apache-2.0,2013-06-03 16:40:25,2025-09-09 10:38:33,2025-09-09 10:38:31,1367.0,40.0,141.0,43.0,101.0,9.0,208.0,1137,2025-09-02 03:47:35,4.3.4,,,40.0,"JVM - Java, Kotlin, Scala image processing library.",,,60.0,22,True,1,,,,,,,
53,wartremover,wartremover/wartremover,development-cycle,https://github.com/wartremover/wartremover,https://github.com/wartremover/wartremover,Apache-2.0,2013-01-05 11:29:26,2025-09-11 00:23:48,2025-09-09 23:19:47,1630.0,61.0,114.0,31.0,1073.0,105.0,249.0,1103,2020-02-25 04:42:44,2.4.5,748.0,6.0,27.0,Flexible Scala code linting tool.,,,90.0,22,True,2,,['scala3'],,,,,
