,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
64,skunk,typelevel/skunk,db-clients,https://github.com/typelevel/skunk,https://github.com/typelevel/skunk,MIT,2018-09-21 06:46:41,2025-10-10 01:08:12,2025-09-21 12:58:36,2211.0,12.0,168.0,26.0,1072.0,90.0,74.0,1628,2024-05-11 13:18:29,0.6.4,,,41.0,A data access library for Scala + Postgres.,,,97.0,21,True,2,"['scala3', 'scalajs']",,,,,,
65,json4s,json4s/json4s,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2025-10-15 07:12:08,2025-10-15 07:12:07,1977.0,27.0,329.0,62.0,1285.0,172.0,264.0,1488,,,,,,JSON library.,,,151.0,21,True,2,"['scala3', 'scalajs']",,,,,,
66,alpakka-kafka,akka/alpakka-kafka,bigdata,https://github.com/akka/alpakka-kafka,https://github.com/akka/alpakka-kafka,,2014-12-30 15:30:02,2025-10-15 11:35:28,2025-10-15 11:35:26,1903.0,22.0,382.0,74.0,1323.0,111.0,439.0,1418,2025-08-05 13:49:19,7.0.4,,,68.0,"Alpakka Kafka connector - Alpakka is a Reactive Enterprise Integration library for Java and Scala, based on Reactive..",,,132.0,21,False,2,['scala3'],,,,,,
67,framework,lift/framework,web-frameworks,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2025-10-14 01:12:51,2025-08-23 00:49:37,3938.0,2.0,279.0,101.0,551.0,136.0,1351.0,1271,2021-10-08 15:12:09,3.5.0-release,,,54.0,Lift Framework.,,,120.0,21,True,1,,,,,,,
68,chimney,scalalandio/chimney,toolkits,https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2025-10-13 22:12:32,2025-10-13 22:12:32,1594.0,23.0,108.0,18.0,548.0,17.0,210.0,1233,2025-07-10 18:19:17,1.8.2,,,47.0,"Scala library for boilerplate-free, type-safe data transformations.",,,46.0,21,True,2,"['scala3', 'scalajs']",,,,,,
69,slick-pg,tminglei/slick-pg,db-clients,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2025-10-16 08:30:26,2025-10-16 08:30:26,1406.0,22.0,181.0,20.0,403.0,117.0,280.0,844,2025-06-02 14:35:36,0.23.1,,,96.0,Slick extensions for PostgreSQL.,,,97.0,21,True,2,,,,,,,
70,jsoniter-scala,plokhotnyuk/jsoniter-scala,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2025-10-13 08:13:46,2025-10-13 08:13:38,5378.0,126.0,110.0,19.0,956.0,93.0,280.0,788,2025-10-01 15:30:21,2.38.3,,,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs + circe booster.,1.0,1.0,31.0,21,True,2,"['scala3', 'scalajs']",,,,,,
71,nussknacker,touk/nussknacker,bigdata,https://github.com/TouK/nussknacker,https://github.com/TouK/nussknacker,Apache-2.0,2017-06-29 14:09:57,2025-10-16 11:17:25,2025-10-15 14:25:18,7545.0,134.0,100.0,32.0,8191.0,101.0,404.0,699,2024-11-22 14:01:13,1.18.0,612.0,6.0,53.0,Low-code tool for automating actions on real time data | Stream processing for the users.,,,88.0,21,True,2,,,,,,,
72,airframe,wvlet/airframe,di,https://github.com/wvlet/airframe,https://github.com/wvlet/airframe,Apache-2.0,2016-08-14 07:00:12,2025-10-16 00:09:47,2025-10-13 04:10:53,4863.0,70.0,70.0,17.0,3409.0,105.0,558.0,659,2025-10-13 04:12:07,2025.1.20,,,100.0,Essential Building Blocks for Scala.,,,61.0,21,True,1,"['scala3', 'scalajs']",,,,,,
73,mdoc,scalameta/mdoc,sbt,https://github.com/scalameta/mdoc,https://github.com/scalameta/mdoc,Apache-2.0,2017-10-23 07:00:47,2025-10-14 08:04:27,2025-10-14 07:55:54,1564.0,47.0,86.0,8.0,821.0,61.0,152.0,403,2025-10-13 03:25:41,2.8.0,,,81.0,Typechecked markdown documentation for Scala.,,,58.0,21,True,1,['scala3'],,,,,,
74,scalaz,scalaz/scalaz,toolkits,https://github.com/scalaz/scalaz,https://github.com/scalaz/scalaz,,2010-01-16 06:18:51,2025-10-15 07:11:49,2025-10-15 07:11:08,7453.0,32.0,701.0,204.0,2411.0,157.0,424.0,4670,,,,,,Principled Functional Programming in Scala.,,,248.0,20,False,2,"['scala3', 'scalajs']",,,,,,
75,summingbird,twitter/summingbird,bigdata,https://github.com/twitter/summingbird,https://github.com/twitter/summingbird,Apache-2.0,2012-09-25 22:38:35,2022-01-19 17:31:02,2022-01-19 17:31:02,1793.0,,267.0,286.0,494.0,163.0,134.0,2131,2016-06-23 21:16:10,0.11.0-RC1,,,24.0,Streaming MapReduce with Scalding and Storm.,,,45.0,20,False,3,,,,,,,
76,monix,monix/monix,reactive,https://github.com/monix/monix,https://github.com/monix/monix,Apache-2.0,2014-01-06 12:56:07,2024-08-12 23:48:38,2023-10-17 17:17:02,1694.0,,246.0,57.0,1295.0,142.0,577.0,1937,2022-05-07 18:40:42,3.4.1,,,15.0,"Asynchronous, Reactive Programming for Scala and Scala.js.",,,113.0,20,False,1,"['scala3', 'scalajs']",,,,,,
77,pureconfig,pureconfig/pureconfig,others,https://github.com/pureconfig/pureconfig,https://github.com/pureconfig/pureconfig,MPL-2.0,2015-08-29 17:05:50,2025-10-12 10:25:04,2025-10-12 10:25:04,2342.0,28.0,181.0,21.0,1560.0,53.0,265.0,1525,,,,,,A boilerplate-free library for loading configuration files.,,,91.0,20,True,1,['scala3'],,,,,,
78,macwire,softwaremill/macwire,di,https://github.com/softwaremill/macwire,https://github.com/softwaremill/macwire,Apache-2.0,2013-03-17 13:20:04,2025-10-15 00:42:20,2025-10-15 00:42:18,888.0,14.0,80.0,54.0,292.0,55.0,73.0,1310,2025-09-01 14:06:13,2.6.7,,,25.0,"Zero-cost, compile-time, type-safe dependency injection library.",,,46.0,20,True,2,"['scala3', 'scalajs']",,,,,,
79,ReactiveMongo,ReactiveMongo/ReactiveMongo,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2025-10-15 17:31:35,2025-10-15 17:31:35,1443.0,20.0,231.0,50.0,1022.0,15.0,374.0,852,2020-01-03 02:08:23,0.20.0,,,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",,,90.0,20,True,2,['scala3'],,,,,,
80,scodec,scodec/scodec,data,https://github.com/scodec/scodec,https://github.com/scodec/scodec,BSD-3-Clause,2013-04-22 13:36:08,2025-10-03 18:49:53,2025-10-03 18:49:53,1563.0,19.0,107.0,28.0,540.0,5.0,73.0,814,2025-07-26 12:02:30,2.3.3,,,10.0,Scala combinator library for working with binary data.,,,63.0,20,True,1,"['scala3', 'scalajs']",,,,,,
81,bootzooka,softwaremill/bootzooka,others,https://github.com/softwaremill/bootzooka,https://github.com/softwaremill/bootzooka,Apache-2.0,2012-10-19 07:54:05,2025-10-16 09:35:32,2025-10-16 09:35:30,4339.0,410.0,151.0,55.0,1808.0,21.0,115.0,774,,,,,,"Template project to quickly start developing a Scala-based microservice or web application, with the build & project..",,,76.0,20,True,1,,,,,,,
82,upickle,com-lihaoyi/upickle,data,https://github.com/com-lihaoyi/upickle,https://github.com/com-lihaoyi/upickle,MIT,2014-04-23 05:41:08,2025-10-16 02:46:02,2025-10-16 02:46:01,953.0,14.0,175.0,15.0,369.0,28.0,287.0,754,2025-09-10 14:28:52,4.3.2,,,34.0,"uPickle: a simple, fast, dependency-free JSON & Binary (MessagePack) serialization library for Scala.",,,66.0,20,True,1,"['scala3', 'scalajs']",,,,,,
83,specs2,etorreborre/specs2,test,https://github.com/etorreborre/specs2,https://github.com/etorreborre/specs2,,2010-09-03 01:55:10,2025-10-15 16:01:41,2025-10-15 15:50:13,4879.0,26.0,217.0,28.0,762.0,6.0,665.0,736,2025-09-25 14:31:10,SPECS2-4.22.0,,,79.0,Software Specifications for Scala.,,,98.0,20,False,2,"['scala3', 'scalajs']",,,,,,
84,sbt-scoverage,scoverage/sbt-scoverage,sbt,https://github.com/scoverage/sbt-scoverage,https://github.com/scoverage/sbt-scoverage,Apache-2.0,2014-05-16 00:58:21,2025-10-16 18:29:23,2025-10-16 18:29:23,841.0,15.0,158.0,27.0,343.0,42.0,233.0,654,2025-02-20 17:17:28,2.3.1,,,47.0,sbt plugin for scoverage.,,,78.0,20,True,2,,,,,,,
85,sbt-release,sbt/sbt-release,sbt,https://github.com/sbt/sbt-release,https://github.com/sbt/sbt-release,Apache-2.0,2011-10-15 19:00:45,2025-10-14 00:10:44,2025-10-14 00:10:44,660.0,46.0,161.0,23.0,342.0,88.0,102.0,652,2024-01-23 01:19:43,1.4.0,,,5.0,A release plugin for sbt.,,,66.0,20,True,2,,,,,,,
86,izumi,7mind/izumi,di,https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2025-10-15 23:27:49,2025-10-15 23:27:47,4831.0,33.0,68.0,19.0,1783.0,59.0,409.0,626,2025-08-18 18:44:53,1.2.20,,,96.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,,,34.0,20,True,2,"['scala3', 'scalajs']",,,,,,
87,twirl,playframework/twirl,templating,https://github.com/playframework/twirl,https://github.com/playframework/twirl,Apache-2.0,2013-09-22 22:48:40,2025-10-16 08:16:31,2025-10-15 16:37:22,1515.0,35.0,117.0,36.0,930.0,38.0,83.0,559,2025-06-30 13:29:01,2.0.9,,,29.0,Twirl is Plays default template engine.,,,57.0,20,True,1,"['scala3', 'scalajs']",,,,,,
88,munit,scalameta/munit,test,https://github.com/scalameta/munit,https://github.com/scalameta/munit,Apache-2.0,2020-01-03 00:01:20,2025-10-14 19:51:12,2025-10-14 19:49:48,1327.0,61.0,100.0,12.0,829.0,39.0,134.0,463,2025-10-13 04:09:40,1.2.1,,,55.0,Scala testing library with actionable errors and extensible APIs.,,,66.0,20,True,2,"['scala3', 'scalajs']",,,,,,
89,udash-core,UdashFramework/udash-core,web-frameworks,https://github.com/UdashFramework/udash-core,https://github.com/UdashFramework/udash-core,Apache-2.0,2016-02-25 09:35:23,2025-10-07 08:21:23,2025-10-07 08:21:22,3843.0,46.0,37.0,18.0,1283.0,32.0,88.0,450,2025-10-06 06:58:29,0.20.0,,,35.0,Scala framework for building beautiful and maintainable web applications.,2.0,2.0,44.0,20,True,2,['scalajs'],,,,,,
90,scanamo,scanamo/scanamo,db-clients,https://github.com/scanamo/scanamo,https://github.com/scanamo/scanamo,Apache-2.0,2016-02-01 10:58:52,2025-08-12 21:21:13,2025-08-12 21:21:13,2206.0,8.0,125.0,32.0,1616.0,55.0,171.0,317,2025-08-08 10:23:36,4.0.0,,,26.0,Simpler DynamoDB access for Scala.,,,96.0,20,True,2,['scala3'],,,,,,
91,cornichon,agourlay/cornichon,test,https://github.com/agourlay/cornichon,https://github.com/agourlay/cornichon,Apache-2.0,2015-07-27 09:14:49,2025-10-15 13:19:08,2025-10-15 13:19:08,3606.0,75.0,31.0,11.0,797.0,6.0,156.0,233,2025-07-12 05:47:13,0.22.1,,,80.0,Testing tool in Scala for HTTP JSON API.,,,19.0,20,True,2,,,,,,,
92,stryker4s,stryker-mutator/stryker4s,test,https://github.com/stryker-mutator/stryker4s,https://github.com/stryker-mutator/stryker4s,Apache-2.0,2018-06-20 14:14:40,2025-10-15 21:09:54,2025-10-15 21:09:15,1748.0,66.0,36.0,5.0,1685.0,30.0,141.0,203,2025-09-15 16:40:16,0.19.1,,,50.0,Mutation testing for Scala.,,,36.0,20,True,2,['scala3'],,,,,,
93,breeze,scalanlp/breeze,sci,https://github.com/scalanlp/breeze,https://github.com/scalanlp/breeze,Apache-2.0,2009-07-08 23:22:52,2025-10-04 22:40:06,2025-10-04 22:40:06,3748.0,1.0,693.0,203.0,324.0,89.0,452.0,3457,,,,,,Breeze is/was a numerical processing library for Scala.,,,146.0,19,True,2,['scala3'],,,,,,
94,Binding.scala,ThoughtWorksInc/Binding.scala,web-frameworks,https://github.com/ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,MIT,2016-01-06 15:28:52,2025-10-12 00:09:08,2025-03-31 01:04:58,1677.0,,102.0,111.0,478.0,41.0,64.0,1586,2023-01-26 04:19:51,12.2.0,,,82.0,Reactive data-binding for Scala.,,,25.0,19,True,2,"['scala3', 'scalajs']",,,,,,
95,geotrellis,locationtech/geotrellis,others,https://github.com/locationtech/geotrellis,https://github.com/locationtech/geotrellis,,2011-12-23 14:56:54,2025-10-01 12:12:49,2025-10-01 12:12:41,2512.0,9.0,364.0,100.0,2275.0,245.0,1073.0,1367,2025-04-23 12:17:03,3.8.0,,,24.0,GeoTrellis is a geographic data processing engine for high performance applications.,,,96.0,19,False,1,,,,,,,
96,enumeratum,lloydmeta/enumeratum,toolkits,https://github.com/lloydmeta/enumeratum,https://github.com/lloydmeta/enumeratum,MIT,2014-12-05 10:49:34,2025-10-01 10:02:34,2025-05-23 12:49:52,571.0,,151.0,23.0,290.0,38.0,114.0,1213,2025-05-23 12:51:15,enumeratum-1.9.0,,,78.0,"A type-safe, reflection-free, powerful enumeration implementation for Scala with exhaustive pattern match warnings and..",,,95.0,19,True,2,"['scala3', 'scalajs']",,,,,,
97,async,scala/scala-async,toolkits,https://github.com/scala/scala-async,https://github.com/scala/scala-async,Apache-2.0,2013-04-01 22:22:27,2025-10-14 14:12:19,2025-10-14 14:12:19,805.0,10.0,90.0,54.0,287.0,12.0,76.0,1159,2021-09-09 21:50:20,1.0.1,,,21.0,An asynchronous programming facility for Scala.,,,28.0,19,True,2,['scalajs'],,,,,,
98,colossus,tumblr/colossus,web-frameworks,https://github.com/tumblr/colossus,https://github.com/tumblr/colossus,Apache-2.0,2014-11-11 16:06:06,2021-08-14 08:40:07,2018-11-08 17:52:05,1325.0,,97.0,75.0,411.0,4.0,270.0,1137,2018-01-24 17:31:20,0.11.0,,,32.0,I/O and Microservice library for Scala.,,,29.0,19,False,2,,,,,,,
99,phantom,outworkers/phantom,db-clients,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2023-04-05 09:14:46,2021-08-16 22:07:29,1120.0,,187.0,72.0,512.0,21.0,403.0,1047,2020-08-10 21:50:24,2.59.0,,,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",,,51.0,19,False,2,,,,,,,
100,scrooge,twitter/scrooge,data,https://github.com/twitter/scrooge,https://github.com/twitter/scrooge,Apache-2.0,2011-08-22 15:17:18,2025-04-02 01:10:55,2025-04-02 01:10:55,1860.0,,248.0,160.0,192.0,44.0,143.0,798,2022-12-26 14:40:41,scrooge-22.12.0,,,77.0,A Thrift parser/generator.,,,234.0,19,True,2,,,,,,,
101,sbt-jmh,sbt/sbt-jmh,sbt,https://github.com/sbt/sbt-jmh,https://github.com/sbt/sbt-jmh,Apache-2.0,2014-05-19 18:39:03,2025-10-11 08:27:31,2025-10-11 08:27:31,373.0,25.0,88.0,21.0,201.0,29.0,72.0,793,2025-09-29 08:27:05,0.4.8,,,9.0,"Trust no one, bench everything. - sbt plugin for JMH (Java Microbenchmark Harness).",,,52.0,19,True,2,,,,,,,
102,skinny-framework,skinny-framework/skinny-framework,web-frameworks,https://github.com/skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,MIT,2013-09-24 07:39:24,2022-12-14 08:22:49,2022-12-14 08:22:22,1996.0,,68.0,42.0,287.0,20.0,134.0,737,2022-12-14 08:24:58,4.0.1,13392.0,98.0,100.0,Scala on Rails - A full-stack web app framework for rapid development in Scala.,4.0,4.0,32.0,19,False,2,,,,,,,
103,avro4s,sksamuel/avro4s,data,https://github.com/sksamuel/avro4s,https://github.com/sksamuel/avro4s,Apache-2.0,2015-09-16 14:50:22,2025-08-04 04:13:22,2025-08-04 04:13:22,1585.0,1.0,240.0,23.0,487.0,28.0,367.0,727,2024-12-02 02:18:02,5.0.14,,,8.0,Avro schema generation and serialization / deserialization for Scala.,,,109.0,19,True,2,['scala3'],,,,,,
104,sbt-eclipse,sbt/sbt-eclipse,sbt,https://github.com/sbt/sbt-eclipse,https://github.com/sbt/sbt-eclipse,Apache-2.0,2011-06-04 00:39:57,2025-09-27 20:42:06,2025-09-27 20:42:05,481.0,9.0,167.0,47.0,175.0,76.0,202.0,714,2023-12-15 13:52:51,6.2.0,,,4.0,Plugin for sbt to create Eclipse project definitions.,,,40.0,19,True,2,,,,,,,
105,scala-parser-combinators,scala/scala-parser-combinators,parsers,https://github.com/scala/scala-parser-combinators,https://github.com/scala/scala-parser-combinators,Apache-2.0,2013-08-15 18:35:18,2025-10-16 00:11:27,2025-10-16 00:11:27,1122.0,17.0,131.0,31.0,479.0,24.0,100.0,669,2024-04-18 04:36:44,2.4.0,,,19.0,"simple combinator-based parsing for Scala. formerly part of the Scala standard library, now a separate community-..",,,70.0,19,True,1,"['scala3', 'scalajs']",,,,,,
106,scalamock,paulbutcher/scalamock,test,https://github.com/scalamock/scalamock,https://github.com/scalamock/scalamock,MIT,2011-10-24 21:32:02,2025-09-10 13:30:18,2025-09-09 17:18:58,974.0,37.0,101.0,18.0,440.0,7.0,248.0,548,2025-09-10 13:30:18,7.5.0,,,34.0,Native Scala mocking framework.,,,41.0,19,True,3,['scalajs'],,,,,,scalamock/scalamock
107,sparta,Stratio/sparta,bigdata,https://github.com/Stratio/sparta,https://github.com/Stratio/sparta,Apache-2.0,2015-02-04 08:04:40,2019-10-24 06:32:21,2019-10-24 06:28:20,3643.0,,196.0,135.0,1360.0,8.0,534.0,528,2017-05-31 09:56:04,1.5.0,,,61.0,Real Time Analytics and Data Pipelines based on Spark Streaming.,,,41.0,19,False,3,,,,,,,
108,ox,softwaremill/ox,toolkits,https://github.com/softwaremill/ox,https://github.com/softwaremill/ox,Apache-2.0,2023-01-18 14:28:30,2025-10-15 00:34:50,2025-10-15 00:34:49,710.0,28.0,32.0,25.0,308.0,10.0,55.0,466,2025-10-03 16:47:49,1.0.1,,,64.0,"Safe direct-style streaming, concurrency and resiliency for Scala on the JVM.",,,27.0,19,True,2,['scala3'],,,,,,
109,zio-json,zio/zio-json,json,https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2025-10-16 01:55:58,2025-10-15 09:31:12,873.0,36.0,150.0,18.0,1295.0,75.0,121.0,427,2025-06-19 06:59:02,0.7.44,,,77.0,"Fast, secure JSON library with tight ZIO integration.",,,75.0,19,True,2,"['zio', 'scala3', 'scalajs']",,,,,,
110,play-pac4j,pac4j/play-pac4j,sec,https://github.com/pac4j/play-pac4j,https://github.com/pac4j/play-pac4j,Apache-2.0,2012-11-10 08:19:26,2025-10-15 05:55:08,2025-10-15 05:54:22,1122.0,44.0,104.0,25.0,618.0,3.0,172.0,409,2023-11-15 08:16:36,play-pac4j-parent-12.0.0-PLAY2.8-RC1,,,1.0,"Security library for Play framework 2 in Java and Scala: OAuth, CAS, SAML, OpenID Connect, LDAP, JWT...",,,54.0,19,True,1,,,,,,,
111,play-json,playframework/play-json,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2025-10-16 08:15:24,2025-10-16 08:15:18,1470.0,16.0,141.0,15.0,1096.0,61.0,101.0,369,2025-10-10 11:58:21,3.0.6,,,28.0,The Play JSON library.,,,69.0,19,True,2,"['scala3', 'scalajs', 'play']",,,,,,
112,sbt-ci-release,sbt/sbt-ci-release,sbt,https://github.com/sbt/sbt-ci-release,https://github.com/sbt/sbt-ci-release,Apache-2.0,2018-06-10 21:45:29,2025-10-13 20:02:38,2025-10-13 20:02:38,631.0,45.0,78.0,10.0,319.0,4.0,89.0,303,2025-08-17 06:14:02,1.11.2,,,38.0,sbt plugin to automate Sonatype releases from GitHub Actions.,,,66.0,19,True,2,,,,,,,
113,play-ws,playframework/play-ws,http,https://github.com/playframework/play-ws,https://github.com/playframework/play-ws,Apache-2.0,2016-12-07 23:00:14,2025-10-16 08:23:09,2025-10-13 07:09:28,1307.0,39.0,90.0,14.0,971.0,81.0,83.0,225,2025-09-10 19:04:52,3.0.8,,,36.0,"Standalone Play WS, an async HTTP client with fluent API.",,,50.0,19,True,2,"['scala3', 'play']",,,,,,
114,sbt-header,sbt/sbt-header,sbt,https://github.com/sbt/sbt-header,https://github.com/sbt/sbt-header,Apache-2.0,2015-02-05 16:25:45,2025-10-13 20:03:52,2025-10-13 20:03:52,385.0,65.0,58.0,8.0,282.0,13.0,79.0,187,2025-09-12 03:19:49,5.11.0,,,25.0,"sbt-header is an sbt plugin for creating file headers, e.g. copyright headers.",,,39.0,19,True,2,,,,,,,
115,bleep,oyvindberg/bleep,development-cycle,https://github.com/oyvindberg/bleep,https://github.com/oyvindberg/bleep,MIT,2021-10-15 20:56:47,2025-08-18 07:50:23,2025-07-27 22:26:33,838.0,4.0,24.0,9.0,346.0,60.0,62.0,167,2025-07-27 22:43:54,0.0.13,12303.0,292.0,39.0,A bleeping fast scala build tool!.,,,21.0,19,True,3,['scala3'],,,,,,
116,scalatra,scalatra/scalatra,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2025-10-13 09:13:03,2025-10-13 09:13:03,4240.0,29.0,341.0,81.0,1435.0,74.0,381.0,2651,,,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",,,138.0,18,False,3,['scala3'],,,,,,
117,fastparse,com-lihaoyi/fastparse,parsers,https://github.com/com-lihaoyi/fastparse,https://github.com/com-lihaoyi/fastparse,MIT,2014-11-29 08:35:28,2025-09-03 00:56:36,2025-09-03 00:55:18,964.0,1.0,165.0,31.0,169.0,21.0,136.0,1125,2021-09-07 10:21:47,2.3.3,,,2.0,Writing Fast Parsers Fast in Scala.,,,55.0,18,True,2,"['scala3', 'scalajs']",,,,,,
118,bidmach,biddata/bidmach,bigdata,https://github.com/BIDData/BIDMach,https://github.com/BIDData/BIDMach,BSD-3-Clause,2012-10-22 03:17:08,2022-10-04 23:35:03,2020-06-03 05:15:57,3024.0,,171.0,85.0,61.0,67.0,90.0,916,2017-03-26 04:20:02,1.1.2,,,9.0,CPU and GPU-accelerated Machine Learning Library.,,,45.0,18,False,3,,,,,,,
119,eff,atnos-org/eff,toolkits,https://github.com/atnos-org/eff,https://github.com/atnos-org/eff,MIT,2016-01-04 22:34:26,2025-10-15 03:46:18,2025-10-15 03:45:53,1439.0,30.0,79.0,19.0,911.0,3.0,65.0,588,2025-04-27 10:55:30,8.0.0,,,78.0,Eff monad for cats - https://atnos-org.github.io/eff.,,,43.0,18,True,2,"['scala3', 'scalajs']",,,,,,
120,scapegoat,scapegoat-scala/scapegoat,development-cycle,https://github.com/scapegoat-scala/scapegoat,https://github.com/scapegoat-scala/scapegoat,Apache-2.0,2013-11-21 17:45:58,2025-05-29 11:57:19,2025-05-29 11:57:19,1462.0,,94.0,19.0,722.0,53.0,210.0,543,2025-05-11 20:47:48,3.1.9,,,37.0,Scala compiler plugin for static code analysis.,,,68.0,18,True,3,,,,,,,
121,scribe,outr/scribe,toolkits,https://github.com/outr/scribe,https://github.com/outr/scribe,MIT,2016-01-26 15:49:14,2025-10-15 00:20:24,2025-07-19 17:24:03,1595.0,1.0,44.0,6.0,569.0,16.0,154.0,536,2025-07-19 17:24:48,3.17.0,,,52.0,The fastest logging library in the world. Built from scratch in Scala and programmatically configurable.,,,22.0,18,True,2,"['scala3', 'scalajs']",,,,,-2.0,
122,utest,com-lihaoyi/utest,test,https://github.com/com-lihaoyi/utest,https://github.com/com-lihaoyi/utest,MIT,2014-01-27 03:12:39,2025-10-15 13:40:42,2025-10-15 13:40:42,743.0,23.0,88.0,13.0,257.0,16.0,131.0,507,2025-08-18 10:14:16,0.9.1,,,22.0,A simple testing framework for Scala.,,,56.0,18,True,3,"['scala3', 'scalajs']",,,,,,
123,jackson-module-scala,FasterXML/jackson-module-scala,json,https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2025-10-04 19:31:49,2025-10-04 09:32:13,1907.0,39.0,143.0,26.0,243.0,52.0,478.0,504,,,,,,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,,,59.0,18,True,2,['scala3'],,,,,,
124,mima,lightbend/mima,sbt,https://github.com/lightbend-labs/mima,https://github.com/lightbend-labs/mima,Apache-2.0,2012-05-24 14:08:57,2025-09-15 11:02:06,2025-09-15 11:02:06,1665.0,9.0,73.0,15.0,657.0,32.0,190.0,477,2024-08-09 02:29:56,1.1.4,,,33.0,A tool for catching binary incompatibility in Scala.,,,51.0,18,True,2,['scala3'],,,,,,lightbend-labs/mima
125,laika,typelevel/Laika,csv-yaml,https://github.com/typelevel/Laika,https://github.com/typelevel/Laika,Apache-2.0,2012-12-22 14:53:32,2025-10-06 20:13:21,2025-09-09 12:55:58,4096.0,5.0,51.0,8.0,466.0,14.0,224.0,443,2025-04-01 15:13:46,1.3.2,,,44.0,"Site and E-book Generator and Customizable Text Markup Transformer for sbt, Scala and Scala.js.",,,27.0,18,True,1,"['scala3', 'scalajs']",,,,,,
126,metrics-scala,erikvanoosten/metrics-scala,others,https://github.com/erikvanoosten/metrics-scala,https://github.com/erikvanoosten/metrics-scala,Apache-2.0,2012-09-10 17:53:21,2025-10-07 16:08:07,2025-10-07 16:08:06,2464.0,17.0,61.0,11.0,531.0,1.0,74.0,427,2019-06-04 12:08:41,4.0.6,,,12.0,The scala API for Dropwizards Metrics.,,,90.0,18,True,1,['scala3'],,,,,,
127,mockito-scala,mockito/mockito-scala,test,https://github.com/mockito/mockito-scala,https://github.com/mockito/mockito-scala,MIT,2018-06-23 16:45:29,2025-10-16 05:28:26,2025-10-16 05:28:26,942.0,12.0,60.0,15.0,467.0,25.0,103.0,359,2025-05-29 06:57:19,2.0.0,,,51.0,Mockito for Scala language.,,,32.0,18,True,3,,,,,,,
128,diffson,gnieh/diffson,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2025-09-26 07:42:55,2025-09-26 07:42:54,593.0,22.0,51.0,10.0,427.0,14.0,48.0,322,2025-09-25 15:34:38,4.6.1,,,17.0,A scala diff/patch library for Json.,,,34.0,18,True,2,"['scala3', 'scalajs']",,,,,,
129,sbt-microsites,47degrees/sbt-microsites,sbt,https://github.com/47degrees/sbt-microsites,https://github.com/47degrees/sbt-microsites,Apache-2.0,2016-09-05 23:33:02,2025-09-15 05:13:14,2024-04-29 05:19:30,1290.0,,61.0,48.0,702.0,18.0,122.0,318,2023-11-10 13:36:09,1.4.4,,,79.0,An sbt plugin to create awesome microsites for your project.,,,76.0,18,True,2,,,,,,,
130,sbt-scalafmt,scalameta/sbt-scalafmt,sbt,https://github.com/scalameta/sbt-scalafmt,https://github.com/scalameta/sbt-scalafmt,Apache-2.0,2018-06-10 21:10:13,2025-10-13 17:22:48,2025-10-13 17:22:48,370.0,27.0,49.0,8.0,331.0,1.0,73.0,222,2025-06-30 04:41:28,2.5.5,,,28.0,sbt plugin for Scalafmt.,,,33.0,18,True,2,,,,,,,
