,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending
44,argonaut,argonaut-io/argonaut,io.argonaut:argonaut_2.13,json,"['scala3', 'scalajs']",https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2023-12-04 02:56:58,2023-12-04 02:56:57,1650.0,26.0,112.0,24.0,619.0,27.0,168.0,546,2023-10-09 09:53:11,6.3.9,16.0,Purely functional JSON parser and library in scala.,24.0,,59.0,23,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2023-10-09 09:53:11,24.0,True,1,,,
45,nussknacker,touk/nussknacker,,bigdata,,https://github.com/TouK/nussknacker,https://github.com/TouK/nussknacker,Apache-2.0,2017-06-29 14:09:57,2023-12-07 17:51:29,2023-12-07 17:29:52,5815.0,355.0,89.0,32.0,4751.0,102.0,374.0,536,2023-12-04 11:21:50,1.12.5,40.0,Low-code tool for automating actions on real time data | Stream processing for the users.,,,75.0,23,,,,True,2,328.0,4.0,
46,scalaxb,eed3si9n/scalaxb,,http,,https://github.com/eed3si9n/scalaxb,https://github.com/eed3si9n/scalaxb,MIT,2010-02-05 05:50:50,2023-12-02 16:35:47,2023-12-02 16:35:27,1348.0,67.0,153.0,23.0,209.0,155.0,283.0,331,2023-12-02 04:09:17,1.12.0,21.0,scalaxb is an XML data binding tool for Scala.,,,68.0,23,,,,True,2,,,
47,scalding,twitter/scalding,,bigdata,,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195.0,,701.0,323.0,1384.0,317.0,329.0,3457,2017-12-22 20:23:36,0.17.4,17.0,A Scala API for Cascading.,,,212.0,22,,,,True,2,,,
48,lagom,lagom/lagom,,distributed,,https://github.com/lagom/lagom,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06,2023-08-14 13:43:48,2023-08-14 13:43:48,2427.0,,633.0,150.0,2274.0,455.0,642.0,2636,2021-12-14 11:16:46,1.6.7,49.0,Reactive Microservices for the JVM.,,,149.0,22,,,,True,2,,,
49,spray-json,spray/spray-json,io.spray:spray-json_2.13,json,,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2022-09-15 12:08:33,2021-12-09 19:21:31,331.0,,582.0,37.0,154.0,97.0,116.0,2542,2020-11-11 13:05:44,1.3.6,3.0,"A lightweight, clean and simple JSON implementation in Scala.",220.0,145.0,48.0,22,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,75.0,False,2,,,1.0
50,finatra,twitter/finatra,,web-frameworks,,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2023-11-02 09:53:58,2023-11-02 09:31:24,2650.0,5.0,420.0,214.0,266.0,13.0,309.0,2271,2022-12-26 14:40:15,finatra-22.12.0,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",,,253.0,22,,,,True,1,,,
51,sbt-assembly,sbt/sbt-assembly,,sbt,,https://github.com/sbt/sbt-assembly,https://github.com/sbt/sbt-assembly,MIT,2011-06-10 05:30:27,2023-11-20 07:43:57,2023-11-20 02:35:57,640.0,18.0,218.0,53.0,168.0,104.0,248.0,1923,2023-11-20 07:44:45,2.1.5,20.0,Deploy ber-JARs. Restart processes. (port of codahale/assembly-sbt).,,,80.0,22,,,,True,1,,,
52,scalacheck,typelevel/scalacheck,,test,"['scala3', 'scalajs']",https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2023-12-01 20:33:00,2023-11-28 16:32:42,2080.0,33.0,409.0,58.0,686.0,65.0,286.0,1908,2022-09-15 23:24:43,1.17.0,10.0,Property-based testing for Scala.,,,135.0,22,,,,True,2,,,
53,giter8,foundweekends/giter8,,development-cycle,,https://github.com/foundweekends/giter8,https://github.com/foundweekends/giter8,Apache-2.0,2010-08-10 04:08:48,2023-12-06 08:00:40,2023-12-06 08:00:39,1318.0,15.0,229.0,71.0,578.0,44.0,229.0,1719,2023-05-02 05:25:32,0.16.2,17.0,a command line tool to apply templates defined on GitHub.,,,83.0,22,,,,True,2,,,
54,Monocle,optics-dev/monocle,,toolkits,"['scala3', 'scalajs']",https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2023-12-05 18:23:21,2023-12-03 19:08:04,2160.0,20.0,202.0,52.0,1031.0,46.0,331.0,1616,2023-01-03 14:12:47,3.2.0,9.0,Optics library for Scala.,,,125.0,22,,,,True,2,,,
55,finch,finagle/finch,,http,,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2023-11-18 08:50:05,2023-11-18 08:50:05,2303.0,17.0,226.0,61.0,1251.0,42.0,369.0,1597,2022-09-16 18:19:38,0.34.0,61.0,Scala combinator library for building Finagle HTTP services.,,,128.0,22,,,,True,2,,,
56,sbt-native-packager,sbt/sbt-native-packager,,sbt,,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2023-12-06 23:57:36,2023-07-24 08:48:26,1695.0,,440.0,56.0,755.0,134.0,652.0,1578,2023-02-20 17:55:37,1.9.16,100.0,sbt Native Packager.,,,270.0,22,,,,True,1,,,
57,spark-testing-base,holdenk/spark-testing-base,,test,,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2023-10-24 19:46:31,2023-10-14 04:54:39,765.0,14.0,365.0,79.0,198.0,99.0,118.0,1470,2023-04-25 21:17:13,1.4.3,4.0,Base classes to use when writing tests with Spark.,35.0,35.0,60.0,22,,,,True,2,,,
58,scalafix,scalacenter/scalafix,,development-cycle,['scalajs'],https://github.com/scalacenter/scalafix,https://github.com/scalacenter/scalafix,BSD-3-Clause,2016-08-08 11:45:19,2023-12-04 22:26:30,2023-12-04 22:24:00,3428.0,66.0,174.0,29.0,1246.0,71.0,585.0,778,2023-09-11 02:10:49,0.11.1,69.0,Refactoring and linting tool for Scala.,,,105.0,22,,,,True,2,35.0,0.0,
59,izumi,7mind/izumi,,di,"['scala3', 'scalajs']",https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2023-12-06 23:08:16,2023-12-06 21:13:33,4429.0,59.0,60.0,21.0,1537.0,63.0,393.0,590,2023-11-21 22:45:13,1.2.3,79.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,,,31.0,22,,,,True,1,,,
60,spark-notebook,spark-notebook/spark-notebook,,sci,,https://github.com/spark-notebook/spark-notebook,https://github.com/spark-notebook/spark-notebook,Apache-2.0,2014-09-05 19:35:25,2023-05-16 16:06:37,2021-03-30 08:57:25,2326.0,,659.0,190.0,484.0,208.0,307.0,3145,2017-07-23 14:44:02,0.8.3,18.0,Interactive and Reactive Data Science using Scala and Spark.,,,84.0,21,,,,False,2,,,
61,util,twitter/util,,toolkits,['scala3'],https://github.com/twitter/util,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21,2023-11-02 09:30:48,2023-11-02 09:30:48,3124.0,6.0,601.0,229.0,196.0,12.0,111.0,2669,2022-12-26 14:38:56,util-22.12.0,81.0,Wonderful reusable code from Twitter.,,,319.0,21,,,,True,2,,,
