,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
369,analogweb-scala,analogweb/analogweb-scala,,web-frameworks,['scala3'],https://github.com/analogweb/analogweb-scala,https://github.com/analogweb/analogweb-scala,MIT,2013-12-19 15:49:54,2023-12-30 08:31:49,2022-07-19 14:14:08,414.0,,2.0,4.0,18.0,1.0,26.0,13,,,,Tiny High Performance HTTP Server for Scala.,,,4.0,8,,,,False,3,,,,
370,stone,sake92/stone,,env,['scalajs'],https://github.com/sake92/stone,https://github.com/sake92/stone,Apache-2.0,2019-08-14 18:46:15,2020-10-01 13:21:19,2020-10-01 13:21:18,31.0,,3.0,4.0,4.0,,4.0,5,2020-09-08 16:42:47,0.2.0,1.0,URL (de)construct. Withers.,,,,8,,,,False,3,,,,
371,reactors,storm-enroute/reactors,,reactive,,https://github.com/storm-enroute/reactors,https://github.com/storm-enroute/reactors,BSD-3-Clause,2015-11-15 00:51:21,2018-02-03 20:45:14,2018-02-03 11:10:38,2413.0,,1.0,4.0,,,,4,,,,A concurrent reactive programming framework.,,,15.0,8,,,,False,3,,,,
372,msgpack-scala,msgpack/msgpack-scala,,data,,https://github.com/msgpack/msgpack-scala,https://github.com/msgpack/msgpack-scala,,2011-10-18 05:54:24,2018-06-14 09:56:10,2017-11-30 05:23:29,66.0,,28.0,11.0,14.0,8.0,6.0,94,,,,MessagePack serializer implementation for Scala / msgpack.org[Scala].,,,8.0,7,,,,False,3,,,,
373,scala-sql,wangzaixiang/scala-sql,,db-clients,['scala3'],https://github.com/wangzaixiang/scala-sql,https://github.com/wangzaixiang/scala-sql,,2012-05-29 01:09:15,2023-05-31 09:16:02,2023-05-31 09:15:37,126.0,,19.0,10.0,1.0,,2.0,89,2019-01-04 03:19:55,2.0.7,3.0,scala SQL api.,,,5.0,7,,,,False,3,,,,
374,aws4s,aws4s/aws4s,,others,,https://github.com/aws4s/aws4s,https://github.com/aws4s/aws4s,MIT,2017-12-03 14:49:45,2018-06-20 20:31:43,2018-06-20 20:31:30,100.0,,12.0,6.0,21.0,9.0,7.0,87,,,,"Non-blocking AWS SDK for Scala exposing strongly-typed APIs built on top of http4s, fs2 and cats.",,,1.0,7,,,,False,3,,,,
375,pagelets,splink/pagelets,,web-frameworks,,https://github.com/splink/pagelets,https://github.com/splink/pagelets,Apache-2.0,2016-10-03 17:48:28,2022-01-31 22:50:46,2022-01-31 22:49:47,138.0,,5.0,9.0,7.0,,5.0,76,,,,A module for the Play Framework to build highly modular applications.,,,2.0,7,,,,False,3,,,,
376,synapses,mrdimosthenis/synapses,,sci,,https://github.com/mrdimosthenis/Synapses,https://github.com/mrdimosthenis/Synapses,MIT,2019-11-24 17:51:43,2021-09-23 20:55:47,2021-09-23 20:55:47,99.0,,6.0,8.0,23.0,,2.0,70,,,,A group of neural-network libraries for functional and mainstream languages.,,,6.0,7,,,,False,3,,,,
377,OAuth2-mock-play,zalando-stups/OAuth2-mock-play,,sec,,https://github.com/zalando-stups/OAuth2-mock-play,https://github.com/zalando-stups/OAuth2-mock-play,MIT,2016-06-01 12:50:40,2019-04-10 09:30:03,2017-07-23 10:30:38,47.0,,5.0,8.0,16.0,3.0,2.0,25,,,,An implementation of an OAuth2 server designed for mocking/testing.,,,8.0,7,,,,False,3,,,,
378,kvs,zero-deps/kvs,,db-clients,,https://github.com/zero-deps/kvs,https://github.com/zero-deps/kvs,MIT,2019-08-09 21:21:29,2024-09-28 09:47:07,2024-09-28 09:47:00,792.0,1.0,2.0,7.0,4.0,3.0,11.0,24,2022-04-19 11:03:14,4.14,1.0,"Highly available distributed strong eventual consistent and sequentially consistent storage with feeds, sorting and..",,,15.0,7,,,,True,3,,,,
379,google-api-scala,eckerdcollege/google-api-scala,,others,,https://github.com/EckerdCollege/google-api-scala,https://github.com/EckerdCollege/google-api-scala,Apache-2.0,2016-05-11 02:57:25,2018-02-13 23:18:23,2018-02-13 23:17:47,162.0,,5.0,4.0,9.0,2.0,2.0,18,,,,"This API is a wrapper for the google java libraries. Currently mapping Admin Directory, Drive, and Calendar.",,,,7,,,,False,3,,,,
