,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,github_release_downloads,monthly_downloads,updated_github_id
266,scala-stm,nbronson/scala-stm,,others,,https://github.com/nbronson/scala-stm,https://github.com/nbronson/scala-stm,BSD-3-Clause,2010-07-08 23:40:04,2023-04-14 17:30:52,2018-03-14 17:04:15,496.0,,42.0,17.0,20.0,9.0,43.0,249,,,,"A library-based Software Transactional Memory (STM) for Scala, coupled with transactional sets and maps.",,,11.0,12,,,,False,3,,,,
267,scala-ssh,sirthias/scala-ssh,,others,['scala3'],https://github.com/sirthias/scala-ssh,https://github.com/sirthias/scala-ssh,Apache-2.0,2011-10-28 14:07:59,2021-07-09 08:32:58,2021-07-09 08:32:58,157.0,,52.0,16.0,29.0,18.0,12.0,231,,,,Remote shell access via SSH for your Scala applications.,,,21.0,12,,,,False,3,,,,
268,borer,sirthias/borer,,json,"['scala3', 'scalajs']",https://github.com/sirthias/borer,https://github.com/sirthias/borer,MPL-2.0,2019-03-04 21:32:46,2024-05-29 19:50:06,2024-04-02 09:30:53,1020.0,5.0,13.0,10.0,585.0,8.0,113.0,219,,,,Efficient CBOR and JSON (de)serialization in Scala.,,,9.0,12,,,,True,3,,,,
269,reactive,nafg/reactive,,web-frameworks,['scalajs'],https://github.com/nafg/reactive,https://github.com/nafg/reactive,,2010-05-27 23:21:42,2024-03-20 18:11:17,2021-02-28 04:06:13,1147.0,,41.0,19.0,147.0,29.0,53.0,215,,,,A simple FRP library and a web UI framework built on it.,,,11.0,12,,,,False,3,,,,
270,squid,epfldata/squid,,toolkits,,https://github.com/epfldata/squid,https://github.com/epfldata/squid,Apache-2.0,2016-03-08 21:53:00,2024-02-01 08:22:44,2020-11-23 16:20:07,583.0,,14.0,17.0,18.0,17.0,33.0,196,,,4.0,Squid type-safe metaprogramming and compilation framework for Scala.,,,6.0,12,,,,False,3,,,,
271,spoiwo,norbert-radyk/spoiwo,,csv-yaml,['scala3'],https://github.com/norbert-radyk/spoiwo,https://github.com/norbert-radyk/spoiwo,MIT,2014-01-05 13:42:05,2022-09-18 15:42:58,2022-09-18 15:42:58,256.0,,44.0,13.0,44.0,11.0,21.0,182,,,,Scala POI Wrapper for the spreadsheet generation in Excel:.,,,20.0,12,,,,False,3,,,,
272,sbt-pgp,sbt/sbt-pgp,,sbt,,https://github.com/sbt/sbt-pgp,https://github.com/sbt/sbt-pgp,,2011-09-08 15:58:10,2024-02-21 05:53:06,2024-02-21 05:53:05,335.0,,55.0,7.0,87.0,19.0,97.0,141,2022-12-06 03:46:29,2.2.1,15.0,PGP plugin for sbt.,,,34.0,12,,,,False,3,,,,
273,rtree2d,plokhotnyuk/rtree2d,,others,"['scala3', 'scalajs']",https://github.com/plokhotnyuk/rtree2d,https://github.com/plokhotnyuk/rtree2d,Apache-2.0,2018-05-07 15:52:10,2024-05-29 18:27:08,2024-05-08 05:11:01,731.0,8.0,11.0,11.0,493.0,8.0,10.0,128,2022-10-13 10:21:18,0.11.12,26.0,RTree2D is a 2D immutable R-tree for ultra-fast nearest and intersection queries in plane and spherical coordinates.,,,6.0,12,,,,True,3,,,,
274,sbt-ghpages,sbt/sbt-ghpages,,sbt,,https://github.com/sbt/sbt-ghpages,https://github.com/sbt/sbt-ghpages,,2012-05-16 15:21:19,2024-05-21 07:08:00,2024-05-21 07:07:59,188.0,11.0,18.0,8.0,107.0,18.0,14.0,91,2024-01-31 15:32:54,0.8.0,2.0,"git, site and ghpages support for sbt projects.",,,20.0,12,,,,False,3,,,,
275,sbt-api-mappings,ThoughtWorksInc/sbt-api-mappings,,sbt,,https://github.com/ThoughtWorksInc/sbt-api-mappings,https://github.com/ThoughtWorksInc/sbt-api-mappings,Apache-2.0,2015-07-10 16:28:55,2024-02-24 01:27:52,2023-07-15 18:48:14,500.0,,17.0,33.0,163.0,8.0,6.0,90,2022-03-19 19:01:11,3.0.2,8.0,An Sbt plugin that fills apiMappings for common Scala libraries.,,,12.0,12,,,,True,3,,,,
