,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,maven_id,dependent_project_count,github_dependent_project_count,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
52,scalafix,scalacenter/scalafix,development-cycle,['scalajs'],https://github.com/scalacenter/scalafix,https://github.com/scalacenter/scalafix,BSD-3-Clause,2016-08-08 11:45:19,2023-08-04 00:19:12,2023-08-01 19:29:34,3336,136.0,172.0,31,1200.0,71.0,575.0,755,2023-06-03 15:04:49,0.11.0,35.0,0.0,68.0,Refactoring and linting tool for Scala.,103.0,22,True,3,,,,,,,,
53,airframe,wvlet/airframe,di,"['scala3', 'scalajs']",https://github.com/wvlet/airframe,https://github.com/wvlet/airframe,Apache-2.0,2016-08-14 07:00:12,2023-08-09 20:20:21,2023-08-09 05:47:39,4092,147.0,61.0,21,2550.0,93.0,481.0,609,2023-08-08 18:38:38,23.8.2,,,100.0,Essential Building Blocks for Scala.,43.0,22,True,1,,,,,,,,
54,izumi,7mind/izumi,di,"['scala3', 'scalajs']",https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2023-08-09 13:07:25,2023-08-09 13:06:54,4338,61.0,56.0,21,1488.0,63.0,387.0,578,2023-08-09 13:58:18,1.1.0-M26,,,73.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,31.0,22,True,1,,,,,,,,
55,argonaut,argonaut-io/argonaut,json,"['scala3', 'scalajs']",https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2023-08-08 12:46:42,2023-08-08 12:46:41,1618,23.0,112.0,25,576.0,27.0,168.0,545,2022-01-20 23:50:14,6.3.8,,,14.0,Purely functional JSON parser and library in scala.,59.0,22,True,1,io.argonaut:argonaut_2.13,15.0,,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2022-01-20 23:50:14,15.0,,
56,scalding,twitter/scalding,bigdata,,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195,1.0,701.0,325,1384.0,317.0,329.0,3450,2017-12-22 20:23:36,0.17.4,,,17.0,A Scala API for Cascading.,212.0,21,True,2,,,,,,,,
57,spark-notebook,spark-notebook/spark-notebook,sci,,https://github.com/spark-notebook/spark-notebook,https://github.com/spark-notebook/spark-notebook,Apache-2.0,2014-09-05 19:35:25,2023-05-16 16:06:37,2021-03-30 08:57:25,2326,,659.0,190,484.0,208.0,307.0,3144,2017-07-23 14:44:02,0.8.3,,,18.0,Interactive and Reactive Data Science using Scala and Spark.,84.0,21,False,2,,,,,,,,
58,spray-json,spray/spray-json,json,,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2022-09-15 12:08:33,2021-12-09 19:21:31,331,,582.0,37,154.0,97.0,116.0,2542,2020-11-11 13:05:44,1.3.6,,,3.0,"A lightweight, clean and simple JSON implementation in Scala.",48.0,21,False,2,io.spray:spray-json_2.13,183.0,145.0,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,38.0,,
59,finatra,twitter/finatra,web-frameworks,,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2023-05-25 14:50:18,2023-05-09 19:18:19,2645,,416.0,216,265.0,12.0,309.0,2266,2022-12-26 14:40:15,finatra-22.12.0,,,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",251.0,21,True,1,,,,,,,,
60,monix,monix/monix,reactive,"['scala3', 'scalajs']",https://github.com/monix/monix,https://github.com/monix/monix,Apache-2.0,2014-01-06 12:56:07,2023-07-30 17:10:28,2023-05-03 07:29:20,1686,,245.0,63,1090.0,82.0,577.0,1903,2022-05-07 18:40:42,3.4.1,,,15.0,"Asynchronous, Reactive Programming for Scala and Scala.js.",105.0,21,True,1,,,,,,,,
61,scalajs-react,japgolly/scalajs-react,scala-js,"['scala3', 'scalajs']",https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2023-07-24 14:07:49,2023-07-24 14:07:49,3196,6.0,236.0,65,554.0,24.0,507.0,1617,2022-04-26 04:07:04,2.1.1,,,65.0,Facebooks React on Scala.JS.,81.0,21,True,2,,,,,,,,
62,alpakka-kafka,akka/alpakka-kafka,bigdata,['scala3'],https://github.com/akka/alpakka-kafka,https://github.com/akka/alpakka-kafka,,2014-12-30 15:30:02,2023-07-30 12:25:02,2023-07-26 15:07:44,1763,25.0,400.0,78,1134.0,110.0,427.0,1410,2023-04-17 10:24:16,4.0.2,,,59.0,"Alpakka Kafka connector - Alpakka is a Reactive Enterprise Integration library for Java and Scala, based on Reactive..",130.0,21,False,2,,,,,,,,True
63,pureconfig,pureconfig/pureconfig,misc,['scala3'],https://github.com/pureconfig/pureconfig,https://github.com/pureconfig/pureconfig,MPL-2.0,2015-08-29 17:05:50,2023-08-08 05:49:00,2023-08-08 05:49:00,2048,61.0,168.0,21,1264.0,45.0,247.0,1404,,,,,,A boilerplate-free library for loading configuration files.,85.0,21,True,1,,,,,,,,
