,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
274,stac4s,stac-utils/stac4s,others,['scalajs'],https://github.com/stac-utils/stac4s,https://github.com/stac-utils/stac4s,Apache-2.0,2019-11-23 20:43:52,2026-02-01 20:53:35,2026-02-01 20:53:35,553.0,7.0,9.0,7.0,782.0,20.0,31.0,17.0,2024-05-13 00:53:22,0.9.1,,,25.0,A Scala library with primitives to build applications using the SpatioTemporal Asset Catalogs specification.,16.0,12,True,3.0,,,,,,,,
275,scurl-detector,lambdaworks/scurl-detector,others,['scala3'],https://github.com/lambdaworks/scurl-detector,https://github.com/lambdaworks/scurl-detector,Apache-2.0,2021-06-08 09:33:41,2026-02-04 21:14:46,2026-02-04 21:12:22,336.0,37.0,2.0,8.0,330.0,,13.0,16.0,2026-01-13 12:20:08,1.3.0,,,4.0,Scala library that detects and extracts URLs from text.,11.0,12,True,3.0,,,io.lambdaworks:scurl-detector_3,https://search.maven.org/artifact/io.lambdaworks/scurl-detector_3,2026-01-13 12:20:08,,,
276,curiodb,stephenmcd/curiodb,distributed,,https://github.com/stephenmcd/curiodb,https://github.com/stephenmcd/curiodb,BSD-2-Clause,2015-04-26 01:47:43,2018-11-04 22:44:22,2018-11-04 22:44:21,139.0,,45.0,32.0,19.0,5.0,7.0,511.0,,,,,,Distributed NoSQL Database.,6.0,11,False,3.0,,,,,,,,
277,akka-tracing,levkhomich/akka-tracing,distributed,,https://github.com/levkhomich/akka-tracing,https://github.com/levkhomich/akka-tracing,,2014-03-15 20:15:30,2018-01-31 15:10:20,2018-01-13 12:03:50,355.0,,35.0,27.0,18.0,22.0,75.0,315.0,,,,,,"A distributed tracing extension for Akka. Provides integration with Play framework, Spray and Akka HTTP.",8.0,11,False,3.0,,,,,,,,
278,reactive,nafg/reactive,web-frameworks,['scalajs'],https://github.com/nafg/reactive,https://github.com/nafg/reactive,,2010-05-27 23:21:42,2024-06-30 15:02:15,2021-02-28 04:06:13,1147.0,,41.0,18.0,149.0,29.0,53.0,215.0,,,,,,A simple FRP library and a web UI framework built on it.,11.0,11,False,3.0,,,,,,,,
279,scalive,xitrum-framework/scalive,test,,https://github.com/xitrum-framework/scalive,https://github.com/xitrum-framework/scalive,MIT,2014-01-28 08:11:24,2019-01-30 13:34:32,2019-01-30 13:34:25,125.0,,12.0,16.0,3.0,7.0,12.0,198.0,2019-01-30 13:24:43,1.7.0,706.0,5.0,8.0,Connect a Scala REPL to running JVM processes without any prior setup.,4.0,11,False,3.0,,,,,,,,
280,scala-forklift,lastland/scala-forklift,db-clients,,https://github.com/lastland/scala-forklift,https://github.com/lastland/scala-forklift,,2015-08-18 16:26:21,2024-08-19 14:36:15,2024-08-19 14:36:15,277.0,,32.0,10.0,26.0,13.0,19.0,190.0,2016-08-10 07:04:47,0.2.3,,,3.0,"Type-safe data migration tool for Slick, Git and beyond.",11.0,11,False,3.0,,,,,,,,
281,numsca,botkop/numsca,sci,,https://github.com/botkop/numsca,https://github.com/botkop/numsca,BSD-2-Clause,2017-12-06 10:18:37,2025-05-24 06:10:02,2025-05-24 06:10:02,75.0,,19.0,17.0,5.0,3.0,7.0,188.0,2020-04-19 10:21:27,0.1.7,,,7.0,numsca is numpy for scala.,,11,True,3.0,,,,,,,,
282,scalacollider,sciss/scalacollider,media,"['scala3', 'scalajs']",https://github.com/sciss/scalacollider,https://github.com/sciss/scalacollider,AGPL-3.0,2009-12-10 16:39:10,2021-10-24 16:34:30,,,,19.0,,,8.0,,186.0,,,,,,A Scala sound synthesis library based on SuperCollider.,2.0,11,False,2.0,,,,,,,,
283,log4s,Log4s/log4s,logging,"['scala3', 'scalajs']",https://github.com/Log4s/log4s,https://github.com/Log4s/log4s,,2013-04-28 07:57:48,2025-06-10 20:12:46,2025-06-10 20:12:46,380.0,,25.0,7.0,64.0,9.0,23.0,174.0,,,,,,High-performance SLF4J wrapper for Scala.,15.0,11,False,3.0,,,,,,,,
